代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
9910,豐泰,強勢噴出,雙主力連買,69.8,1.31,436,187,436,1059,5,6,1246,406,1246,68.54,69.31,69.81,否,否,否,是,否,否,MACD翻多,,,
2610,華航,強勢噴出,雙主力連買,20.45,0.0,1101,1261,1101,3463,4,6,13807,5262,13807,20.45,20.33,21.36,否,否,否,否,否,否,—,,,
2528,皇普,低位啟動,雙主力連買,20.1,0.75,21,23,21,65,6,3,291,42,291,19.97,20.29,21.09,否,否,否,是,否,否,MACD翻多,,,
2886,兆豐金,強勢噴出,雙主力連買,50.2,1.31,6344,1207,6344,13895,6,2,76560,5937,76560,49.53,47.81,47.62,是,否,否,否,否,否,均線多頭,,,
5876,上海商銀,強勢噴出,雙主力連買,46.95,1.4,4823,1059,4823,10705,5,3,24458,5165,24458,45.81,43.79,43.65,是,是,否,否,是,否,均線多頭、布林突破,,,
6191,精成科,低位啟動,雙主力連買,82.8,0.36,148,30,148,326,2,6,-144,217,-144,82.9,83.71,91.13,否,否,否,否,否,否,—,,,
8442,威宏-KY,低位啟動,雙主力連買,45.65,0.22,10,2,10,22,6,2,37,1,37,45.44,45.49,44.02,否,是,是,否,否,否,KD黃金交叉,,,
1802,台玻,強勢噴出,雙主力連買,60.7,2.71,5993,113,5993,12099,1,6,1060,904,1060,60.1,58.59,60.09,否,是,否,否,否,否,—,,,
2454,聯發科,強勢噴出,雙主力連買,4760.0,7.81,2913,920,2913,6746,3,4,3057,2562,3057,4421.0,4053.25,3982.92,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
3037,欣興,強勢噴出,雙主力連買,949.0,5.21,1079,360,1079,2518,6,1,8175,-10094,8175,943.6,1048.45,954.82,否,否,否,否,否,否,—,,,
6531,愛普*,強勢噴出,雙主力連買,960.0,5.38,792,37,792,1621,1,6,-1241,530,-1241,939.6,895.9,897.33,否,是,否,否,否,否,—,,,
1519,華城,強勢噴出,雙主力連買,739.0,0.96,483,112,483,1078,2,5,873,270,873,,,,,,,,,,—,,,
6805,富世達,趨勢持續,雙主力連買,2265.0,2.95,150,10,150,310,6,1,600,-1060,600,2191.0,1998.5,1701.25,是,是,否,否,否,否,均線多頭,,,
2247,汎德永業,趨勢持續,雙主力連買,234.0,1.08,19,2,19,40,6,1,62,-1,62,231.5,227.35,229.62,否,是,否,否,否,否,—,,,
7769,鴻勁,強勢噴出,雙主力連買,6565.0,9.78,339,60,339,738,5,1,1020,-453,1020,,,,,,,,,,—,,,
3044,健鼎,趨勢持續,雙主力連買,493.0,0.92,15,33,15,63,1,5,-257,631,-257,,,,,,,,,,—,,,
6409,旭隼,趨勢持續,雙主力連買,977.0,1.24,24,10,24,58,2,4,-235,65,-235,989.8,1011.2,1013.05,否,否,否,否,否,否,—,,,
2207,和泰車,趨勢持續,雙主力連買,539.0,0.0,3,21,3,27,4,2,220,72,220,526.8,518.5,499.26,是,是,否,否,是,否,均線多頭、布林突破,,,
2303,聯電,強勢噴出,雙主力連買,143.0,10.0,38568,14860,38568,91996,3,2,8081,16936,8081,131.3,124.28,137.46,否,是,是,否,是,是,KD黃金交叉、布林突破、爆量長紅,,,
2603,長榮,強勢噴出,雙主力連買,233.0,0.0,87,495,87,669,1,4,-2792,3127,-2792,235.5,233.85,210.59,是,是,否,否,否,否,均線多頭,,,
3026,禾伸堂,強勢噴出,雙主力連買,771.0,9.99,402,81,402,885,3,2,-72,619,-72,,,,,,,,,,—,,,
6214,精誠,趨勢持續,雙主力連買,185.0,0.27,111,4,111,226,2,3,-653,386,-653,183.8,175.57,151.82,是,是,否,否,否,否,均線多頭,,,
3679,新至陞,趨勢持續,雙主力連買,108.0,2.37,12,2,12,26,3,2,23,1,23,107.4,108.72,109.65,否,否,是,否,否,否,KD黃金交叉,,,
6670,復盛應用,趨勢持續,雙主力連買,276.0,0.18,1,10,1,12,2,3,-131,151,-131,276.5,269.98,266.49,是,是,否,否,否,否,均線多頭,,,
4736,泰博,低位啟動,雙主力連買,125.5,1.21,32,10,32,74,1,4,-77,100,-77,126.4,134.25,129.41,否,否,否,否,否,否,—,,,
3034,聯詠,強勢噴出,雙主力連買,540.0,3.05,994,30,994,2018,2,2,3467,466,3467,537.2,535.15,521.73,是,否,否,否,否,否,均線多頭,,,
5871,中租-KY,強勢噴出,雙主力連買,112.5,0.9,687,138,687,1512,1,3,-10590,2843,-10590,112.5,113.17,115.07,否,是,否,否,否,否,—,,,
6282,康舒,強勢噴出,雙主力連買,44.35,0.8,468,12,468,948,2,2,-570,-355,-570,,,,,,,,,,—,,,
3515,華擎,趨勢持續,雙主力連買,231.0,1.76,243,5,243,491,2,2,859,17,859,226.2,222.47,218.95,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
2495,普安,低位啟動,雙主力連買,37.4,0.13,149,30,149,328,2,2,-210,98,-210,37.55,38.16,42.44,否,否,否,否,否,否,—,,,
1503,士電,趨勢持續,雙主力連買,207.5,0.0,177,10,177,364,2,2,916,24,916,206.1,202.45,211.96,否,是,是,否,否,否,KD黃金交叉,,,
2477,美隆電,低位啟動,雙主力連買,21.65,0.0,7,7,7,21,1,3,-257,4,-257,21.6,21.22,21.49,否,否,否,否,否,否,—,,,
0050,元大台灣50,強勢噴出,雙主力連買,109.9,1.85,43969,2700,43969,90638,2,1,65614,-1100,65614,107.85,105.92,104.81,是,是,否,否,是,否,均線多頭、布林突破,,,
2408,南亞科,強勢噴出,雙主力連買,517.0,4.23,13693,351,13693,27737,2,1,-58192,-5282,-58192,505.3,512.05,454.5,否,是,否,否,否,否,—,,,
0056,元大高股息,強勢噴出,雙主力連買,55.85,0.81,130,2860,130,3120,2,1,4681,2860,4681,55.14,53.47,52.1,是,是,否,否,是,否,均線多頭、布林突破,,,
6505,台塑化,強勢噴出,雙主力連買,79.7,2.05,666,131,666,1463,1,2,-11875,1114,-11875,77.94,73.14,68.09,是,是,否,否,是,否,均線多頭、布林突破,,,
2371,大同,強勢噴出,雙主力連買,28.15,0.0,725,26,725,1476,1,2,2348,180,2348,28.15,27.53,26.99,是,是,否,否,否,否,均線多頭,,,
2451,創見,強勢噴出,雙主力連買,289.5,1.76,621,31,621,1273,1,2,-1680,49,-1680,,,,,,,,,,—,,,
2441,超豐,低位啟動,雙主力連買,118.0,1.72,268,11,268,547,1,2,612,-939,612,116.6,117.3,124.17,否,否,是,否,否,否,KD黃金交叉,,,
7795,長廣,強勢噴出,雙主力連買,536.0,6.14,269,9,269,547,2,1,605,8,605,516.6,536.95,489.84,否,是,否,否,否,是,爆量長紅,,,
2404,漢唐,趨勢持續,雙主力連買,1080.0,0.93,167,33,167,367,1,2,-1082,48,-1082,1062.0,1088.75,1172.83,否,否,否,是,否,否,MACD翻多,,,
2480,敦陽科,趨勢持續,雙主力連買,157.5,0.96,10,5,10,25,1,2,113,13,113,156.2,157.4,156.72,否,是,是,否,否,否,KD黃金交叉,,,
2409,友達,強勢噴出,雙主力連買,28.7,7.09,156579,3,156579,313161,1,1,192894,-2331,192894,26.97,26.2,26.82,否,是,否,否,是,是,布林突破、爆量長紅,,,
6770,力積電,強勢噴出,雙主力連買,72.9,6.42,112644,7427,112644,232715,1,1,-1020,7364,-1020,70.08,70.68,69.65,否,是,是,否,否,是,KD黃金交叉、爆量長紅,,,
4958,臻鼎-KY,強勢噴出,雙主力連買,501.0,8.21,9974,2722,9974,22670,1,1,-8045,8375,-8045,494.0,476.32,520.77,否,是,否,否,否,否,—,,,
2449,京元電子,強勢噴出,雙主力連買,273.0,4.2,6996,1560,6996,15552,1,1,-10383,5650,-10383,269.1,251.72,276.32,否,是,是,否,否,否,KD黃金交叉,,,
8150,南茂,強勢噴出,雙主力連買,91.3,1.33,3203,117,3203,6523,1,1,14919,114,14919,90.78,90.43,95.46,否,是,否,否,否,否,—,,,
2360,致茂,強勢噴出,雙主力連買,2230.0,9.85,570,31,570,1171,1,1,195,-28,195,,,,,,,,,,—,,,
2504,國產,低位啟動,雙主力連買,31.3,0.16,263,58,263,584,1,1,-183,-46,-183,,,,,,,,,,—,,,
2383,台光電,趨勢持續,雙主力連買,5495.0,1.48,131,30,131,292,1,1,-447,-287,-447,5457.0,5695.0,5325.33,否,是,否,否,否,否,—,,,
9938,百和,低位啟動,雙主力連買,41.1,0.12,13,28,13,54,1,1,-157,-557,-157,41.34,42.04,44.07,否,否,否,否,否,否,—,,,
2345,智邦,趨勢持續,雙主力連買,2100.0,0.0,13,32,13,58,1,1,-442,-1170,-442,2127.0,2137.0,2279.0,否,否,否,否,否,否,—,,,
5880,合庫金,強勢噴出,外資連買,26.5,0.57,3338,-55,3338,6621,6,0,57471,-5894,57471,26.35,25.19,25.31,否,是,否,否,否,否,—,,,
2880,華南金,強勢噴出,外資連買,44.35,0.8,3458,0,3458,6916,6,0,36869,-9079,36869,43.35,40.88,40.12,是,否,否,否,否,否,均線多頭,,,
2885,元大金,強勢噴出,外資連買,70.2,0.57,3640,-45,3640,7235,6,0,37895,-325,37895,68.38,65.97,66.19,否,是,否,否,否,否,—,,,
3045,台灣大,強勢噴出,外資連買,117.0,0.86,392,-8,392,776,6,0,15912,2602,15912,,,,,,,,,,—,,,
4952,凌通,低位啟動,外資連買,50.6,0.0,59,0,59,118,6,0,239,0,239,,,,,,,,,,—,,,
1806,冠軍,低位啟動,外資連買,8.05,0.12,49,0,49,98,6,0,224,0,224,8.04,8.01,8.13,否,是,否,否,否,否,—,,,
1524,耿鼎,低位啟動,外資連買,26.75,0.56,43,0,43,86,6,0,341,0,341,26.94,27.19,27.63,否,否,否,否,否,否,—,,,
9943,好樂迪,低位啟動,外資連買,51.5,0.59,41,0,41,82,6,0,91,0,91,51.24,51.26,53.31,否,否,是,否,否,否,KD黃金交叉,,,
9919,康那香,低位啟動,外資連買,13.95,0.0,33,0,33,66,6,0,180,0,180,13.92,13.9,13.93,否,否,否,否,否,否,—,,,
4562,穎漢,低位啟動,外資連買,30.5,0.49,33,0,33,66,6,0,168,0,168,30.6,31.61,32.56,否,否,否,否,否,否,—,,,
1220,台榮,低位啟動,外資連買,10.7,0.0,22,0,22,44,6,0,48,0,48,,,,,,,,,,—,,,
9906,欣巴巴,低位啟動,外資連買,42.55,0.83,17,0,17,34,6,0,110,0,110,41.77,40.44,40.96,否,是,否,否,否,否,—,,,
7689,大鵬科CLMX,趨勢持續,外資連買,174.0,0.87,18,0,18,36,6,0,53,0,53,173.0,174.5,204.32,否,是,否,否,否,否,—,,,
7835,永悅健康-創,低位啟動,外資連買,23.2,0.87,23,0,23,46,6,0,41,0,41,24.83,23.51,,否,否,否,否,否,否,—,,,
6887,寶綠特-KY,低位啟動,外資連買,37.95,0.26,9,0,9,18,6,0,25,0,25,37.62,37.09,36.49,是,是,否,否,否,否,均線多頭,,,
2412,中華電,強勢噴出,外資連買,138.0,0.36,959,0,959,1918,5,0,15171,-347,15171,137.4,136.4,138.81,否,是,否,否,否,否,—,,,
2908,特力,低位啟動,外資連買,22.25,0.0,86,0,86,172,5,0,255,0,255,22.07,21.93,21.68,是,是,否,否,是,否,均線多頭、布林突破,,,
3027,盛達,低位啟動,外資連買,18.05,1.12,84,0,84,168,5,0,327,0,327,,,,,,,,,,—,,,
1432,大魯閣,低位啟動,外資連買,15.05,0.33,29,0,29,58,5,0,67,0,67,,,,,,,,,,—,,,
6202,盛群,低位啟動,外資連買,59.0,0.34,26,0,26,52,5,0,1176,-440,1176,,,,,,,,,,—,,,
1587,吉茂,低位啟動,外資連買,24.05,0.0,22,0,22,44,5,0,173,0,173,,,,,,,,,,—,,,
9905,大華,低位啟動,外資連買,21.4,0.47,20,0,20,40,5,0,84,0,84,21.42,21.46,21.09,否,是,否,否,否,否,—,,,
2109,華豐,強勢噴出,外資連買,14.9,0.68,19,0,19,38,5,0,89,0,89,14.81,14.76,14.64,是,是,是,是,否,否,均線多頭、KD黃金交叉、MACD翻多,,,
1473,台南,低位啟動,外資連買,20.1,0.0,19,0,19,38,5,0,51,0,51,20.09,20.02,20.09,否,是,否,否,否,否,—,,,
1442,名軒,低位啟動,外資連買,29.9,0.34,21,0,21,42,5,0,217,0,217,29.71,29.92,29.1,否,否,否,否,否,否,—,,,
1445,大宇,趨勢持續,外資連買,10.4,2.46,18,0,18,36,5,0,169,0,169,10.27,10.3,10.84,否,否,是,否,否,否,KD黃金交叉,,,
6861,睿生光電,趨勢持續,外資連買,186.5,1.91,10,0,10,20,5,0,254,0,254,186.4,196.3,244.1,否,否,否,否,否,否,—,,,
1725,元禎,低位啟動,外資連買,32.1,0.31,13,0,13,26,5,0,55,0,55,31.7,31.25,31.83,否,是,是,否,否,否,KD黃金交叉,,,
4999,鑫禾,低位啟動,外資連買,18.35,0.55,11,0,11,22,5,0,37,0,37,,,,,,,,,,—,,,
5215,科嘉-KY,低位啟動,外資連買,39.0,0.13,2,0,2,4,5,0,28,0,28,,,,,,,,,,—,,,
2617,台航,強勢噴出,外資連買,32.9,1.39,1933,0,1933,3866,4,0,4264,0,4264,32.02,30.78,29.9,是,是,否,否,否,否,均線多頭,,,
2455,全新,強勢噴出,外資連買,500.0,5.93,128,-19,128,237,4,0,6166,2543,6166,523.8,437.82,375.12,是,是,否,否,否,否,均線多頭,,,
2511,太子,強勢噴出,外資連買,8.52,1.07,495,0,495,990,4,0,1414,0,1414,,,,,,,,,,—,,,
1210,大成,低位啟動,外資連買,52.1,0.19,264,-4,264,524,4,0,192,121,192,51.92,52.4,55.05,否,否,否,否,否,否,—,,,
9908,大台北,低位啟動,外資連買,29.2,0.52,205,0,205,410,4,0,295,0,295,29.06,29.06,29.33,否,是,否,否,否,否,—,,,
2539,櫻花建,低位啟動,外資連買,35.15,0.43,91,0,91,182,4,0,255,14,255,35.15,37.38,39.39,否,否,否,否,否,否,—,,,
2023,燁輝,低位啟動,外資連買,13.95,0.72,95,0,95,190,4,0,-423,2,-423,13.83,13.84,13.8,否,是,是,是,否,否,KD黃金交叉、MACD翻多,,,
1234,黑松,低位啟動,外資連買,33.3,0.45,89,0,89,178,4,0,165,0,165,,,,,,,,,,—,,,
6534,正瀚-創,低位啟動,外資連買,92.4,1.43,36,0,36,72,4,0,43,0,43,91.5,92.3,92.34,否,否,是,否,否,否,KD黃金交叉,,,
6136,富爾特,趨勢持續,外資連買,24.05,3.44,2,0,2,4,4,0,36,0,36,24.54,24.93,24.73,否,否,否,否,否,是,爆量長紅,,,
1438,三地開發,強勢噴出,外資連買,22.7,1.34,31,0,31,62,4,0,50,0,50,22.44,22.4,22.34,是,否,是,是,是,否,均線多頭、KD黃金交叉、MACD翻多、布林突破,,,
2062,橋椿,低位啟動,外資連買,19.45,0.26,25,0,25,50,4,0,113,0,113,,,,,,,,,,—,,,
7721,微程式,低位啟動,外資連買,61.1,0.33,29,0,29,58,4,0,48,0,48,,,,,,,,,,—,,,
4912,聯德控股-KY,低位啟動,外資連買,102.0,0.0,13,0,13,26,4,0,543,0,543,,,,,,,,,,—,,,
1626,艾美特-KY,低位啟動,外資連買,9.73,0.72,12,0,12,24,4,0,33,0,33,,,,,,,,,,—,,,
3168,眾福科,低位啟動,外資連買,43.1,0.82,10,0,10,20,4,0,27,0,27,,,,,,,,,,—,,,
6838,台新藥,低位啟動,外資連買,24.7,0.2,8,0,8,16,4,0,217,0,217,23.99,23.25,23.77,否,是,否,否,是,否,布林突破,,,
3432,台端,低位啟動,外資連買,14.35,1.41,7,0,7,14,4,0,11,0,11,14.54,14.87,16.6,否,否,否,否,否,否,—,,,
6754,匯僑設計,低位啟動,外資連買,42.65,1.55,7,0,7,14,4,0,9,0,9,41.94,41.96,42.87,否,否,是,否,否,否,KD黃金交叉,,,
3443,創意,趨勢持續,外資連買,5935.0,2.15,78,-117,78,39,4,0,200,-158,200,5887.0,5676.5,4822.83,是,是,否,否,否,否,均線多頭,,,
4770,上品,強勢噴出,外資連買,239.0,5.52,305,0,305,610,3,0,1006,-1,1006,224.0,216.62,216.62,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
3673,TPK-KY,強勢噴出,外資連買,65.8,0.46,343,0,343,686,3,0,890,0,890,66.16,64.61,69.17,否,是,否,否,否,否,—,,,
3094,聯傑,趨勢持續,外資連買,44.8,3.94,296,0,296,592,3,0,2893,0,2893,43.2,39.11,38.26,是,是,否,否,否,是,均線多頭、爆量長紅,,,
2308,台達電,趨勢持續,外資連買,1850.0,1.37,186,-10,186,362,3,0,-3829,-447,-3829,1806.0,1799.75,1847.92,否,是,否,否,否,否,—,,,
2543,皇昌,低位啟動,外資連買,38.65,0.52,207,-1,207,413,3,0,290,-3,290,38.48,38.83,39.39,否,是,否,否,否,否,—,,,
7749,意騰-KY,趨勢持續,外資連買,354.0,4.27,195,0,195,390,3,0,148,0,148,365.4,359.23,386.09,否,是,否,否,否,是,爆量長紅,,,
6139,亞翔,趨勢持續,外資連買,739.0,0.41,182,-1,182,363,3,0,-515,-314,-515,735.6,771.35,810.97,否,否,否,否,否,否,—,,,
2493,揚博,趨勢持續,外資連買,184.0,1.38,80,0,80,160,3,0,411,0,411,183.1,191.75,226.51,否,否,否,否,否,否,—,,,
2849,安泰銀,趨勢持續,外資連買,15.7,4.32,61,0,61,122,3,0,262,0,262,,,,,,,,,,—,,,
7827,漢康-KY創,趨勢持續,外資連買,154.0,1.99,60,0,60,120,3,0,99,0,99,,,,,,,,,,—,,,
1604,聲寶,低位啟動,外資連買,23.65,0.64,48,0,48,96,3,0,114,0,114,23.46,23.28,23.31,否,是,否,否,是,否,布林突破,,,
4440,宜新實業,低位啟動,外資連買,17.7,0.28,49,0,49,98,3,0,87,0,87,17.61,17.57,17.47,是,否,否,否,否,否,均線多頭,,,
2007,燁興,低位啟動,外資連買,6.99,0.14,48,0,48,96,3,0,16,0,16,6.97,7.02,7.14,否,否,是,是,否,否,KD黃金交叉、MACD翻多,,,
2701,萬企,低位啟動,外資連買,10.4,0.0,40,0,40,80,3,0,44,0,44,10.41,10.59,10.66,否,否,否,否,否,否,—,,,
2613,中櫃,低位啟動,外資連買,22.7,0.0,34,0,34,68,3,0,267,0,267,22.64,22.44,21.66,是,是,否,否,否,否,均線多頭,,,
2012,春雨,低位啟動,外資連買,14.6,0.69,32,0,32,64,3,0,40,0,40,14.56,14.85,15.33,否,否,是,否,否,否,KD黃金交叉,,,
9926,新海,低位啟動,外資連買,49.55,0.41,32,0,32,64,3,0,32,0,32,49.13,49.06,49.42,否,否,否,否,否,否,—,,,
5525,順天,低位啟動,外資連買,22.25,0.45,26,0,26,52,3,0,125,0,125,,,,,,,,,,—,,,
1463,強盛新,低位啟動,外資連買,17.3,0.58,27,0,27,54,3,0,111,0,111,,,,,,,,,,—,,,
6790,永豐實,低位啟動,外資連買,38.1,0.13,24,0,24,48,3,0,69,0,69,,,,,,,,,,—,,,
6184,大豐電,低位啟動,外資連買,40.1,0.5,24,0,24,48,3,0,-3,0,-3,,,,,,,,,,—,,,
2373,震旦行,低位啟動,外資連買,53.8,1.13,23,0,23,46,3,0,23,0,23,,,,,,,,,,—,,,
6923,中台,低位啟動,外資連買,76.6,1.73,23,0,23,46,3,0,8,0,8,,,,,,,,,,—,,,
2013,中鋼構,低位啟動,外資連買,41.75,0.0,16,0,16,32,3,0,42,0,42,41.72,41.56,41.74,否,是,否,否,否,否,—,,,
6965,中傑-KY,低位啟動,外資連買,74.8,1.36,21,0,21,42,3,0,21,0,21,73.9,74.69,77.41,否,否,是,否,否,否,KD黃金交叉,,,
2227,裕日車,低位啟動,外資連買,48.3,1.36,24,0,24,48,3,0,23,0,23,47.9,48.33,49.33,否,否,是,是,否,否,KD黃金交叉、MACD翻多,,,
1451,年興,低位啟動,外資連買,17.3,0.29,19,0,19,38,3,0,-10,0,-10,17.28,17.35,17.26,否,否,否,否,否,否,—,,,
1435,中福,趨勢持續,外資連買,22.75,3.41,18,0,18,36,3,0,35,0,35,21.86,23.08,,否,否,否,否,否,是,爆量長紅,,,
2636,台驊控股,低位啟動,外資連買,69.5,0.14,4,0,4,8,3,0,264,0,264,69.48,69.95,68.5,否,是,否,否,否,否,—,,,
