代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2354,鴻準,強勢噴出,雙主力連買,56.4,0.18,707,6,707,1420,3,6,4193,83,4193,54.6,55.9,57.77,否,否,否,是,否,否,MACD翻多,,,
2838,聯邦銀,強勢噴出,雙主力連買,20.9,0.72,705,18,705,1428,3,6,627,76,627,20.62,21.54,21.39,否,否,否,否,否,否,—,,,
1907,永豐餘,強勢噴出,雙主力連買,29.15,0.34,41,437,41,519,6,3,4315,472,4315,28.76,28.26,26.53,是,是,否,否,否,否,均線多頭,,,
3030,德律,強勢噴出,雙主力連買,286.5,6.7,111,2,111,224,4,5,401,17,401,266.5,289.55,338.63,否,否,是,否,否,否,KD黃金交叉,,,
3231,緯創,強勢噴出,雙主力連買,186.0,5.68,13991,9288,13991,37270,2,6,38113,18811,38113,172.3,158.47,156.08,是,是,否,否,否,否,均線多頭,,,
2324,仁寶,強勢噴出,雙主力連買,36.35,0.97,9901,1061,9901,20863,2,6,24992,1564,24992,35.13,35.84,35.41,否,是,是,否,否,否,KD黃金交叉,,,
2317,鴻海,強勢噴出,雙主力連買,253.0,1.0,10136,213,10136,20485,2,6,4982,6313,4982,241.6,242.22,255.17,否,否,是,否,否,否,KD黃金交叉,,,
8422,可寧衛*,強勢噴出,雙主力連買,26.8,8.28,4737,6,4737,9480,2,6,5968,28,5968,25.13,26.22,27.2,否,否,是,否,否,否,KD黃金交叉,,,
4938,和碩,強勢噴出,雙主力連買,86.6,2.61,4112,188,4112,8412,2,6,1742,862,1742,83.34,83.65,84.62,否,是,是,否,否,否,KD黃金交叉,,,
2605,新興,強勢噴出,雙主力連買,31.2,2.8,1657,4,1657,3318,2,6,3415,23,3415,,,,,,,,,,—,,,
2637,慧洋-KY,強勢噴出,雙主力連買,83.0,6.0,443,847,443,1733,2,6,339,1847,339,,,,,,,,,,—,,,
2855,統一證,強勢噴出,雙主力連買,44.15,1.96,228,212,228,668,2,6,-2484,2713,-2484,42.11,45.66,47.02,否,否,否,否,否,否,—,,,
3013,晟銘電,趨勢持續,雙主力連買,80.0,4.03,40,2,40,82,4,4,1511,7,1511,76.74,90.28,104.94,否,否,否,否,否,否,—,,,
6789,采鈺,趨勢持續,雙主力連買,430.5,1.65,40,5,40,85,2,6,1519,25,1519,412.7,475.65,512.73,否,否,是,否,否,否,KD黃金交叉,,,
1605,華新,強勢噴出,雙主力連買,32.8,4.29,6366,17,6366,12749,2,5,-2091,112,-2091,30.56,33.03,35.67,否,否,否,否,否,否,—,,,
3711,日月光投控,強勢噴出,雙主力連買,610.0,9.91,5452,382,5452,11286,1,6,-9320,1643,-9320,544.6,620.05,602.02,否,否,否,否,否,否,—,,,
1717,長興,強勢噴出,雙主力連買,61.7,3.01,1417,307,1417,3141,1,6,-2658,1995,-2658,57.98,66.19,72.79,否,否,否,否,否,否,—,,,
3380,明泰,強勢噴出,雙主力連買,29.05,5.83,661,4,661,1326,2,5,-1998,18,-1998,27.56,30.85,33.29,否,否,否,否,否,否,—,,,
1609,大亞,強勢噴出,雙主力連買,34.65,2.36,697,2,697,1396,1,6,-1669,13,-1669,33.67,37.44,37.17,否,否,是,否,否,否,KD黃金交叉,,,
2379,瑞昱,強勢噴出,雙主力連買,704.0,3.07,327,98,327,752,1,6,-3266,1326,-3266,710.6,745.2,690.53,否,否,否,否,否,否,—,,,
6196,帆宣,強勢噴出,雙主力連買,494.0,5.56,371,12,371,754,1,6,525,93,525,463.9,526.92,508.95,否,否,是,否,否,否,KD黃金交叉,,,
2392,正崴,強勢噴出,雙主力連買,34.45,2.53,314,4,314,632,2,5,-1182,18,-1182,,,,,,,,,,—,,,
3653,健策,強勢噴出,雙主力連買,3770.0,9.43,90,224,90,404,1,6,-1234,1500,-1234,,,,,,,,,,—,,,
2543,皇昌,低位啟動,雙主力連買,37.45,1.22,286,2,286,574,3,4,1069,9,1069,,,,,,,,,,—,,,
2302,麗正,強勢噴出,雙主力連買,40.0,8.84,101,5,101,207,6,1,973,7,973,,,,,,,,,,—,,,
0050,元大台灣50,強勢噴出,雙主力連買,102.0,0.84,55359,4604,55359,115322,2,5,-174080,22609,-174080,,,,,,,,,,—,,,
6505,台塑化,強勢噴出,雙主力連買,67.7,4.8,3027,24,3027,6078,1,5,-6894,669,-6894,71.9,73.18,59.78,否,是,否,否,否,否,—,,,
3037,欣興,強勢噴出,雙主力連買,865.0,9.91,1785,763,1785,4333,1,5,-8589,5480,-8589,764.0,838.45,912.82,否,否,否,否,否,否,—,,,
2049,上銀,強勢噴出,雙主力連買,332.0,9.03,445,659,445,1549,3,3,673,599,673,,,,,,,,,,—,,,
2374,佳能,強勢噴出,雙主力連買,67.3,5.32,930,2,930,1862,2,4,1878,9,1878,,,,,,,,,,—,,,
2421,建準,強勢噴出,雙主力連買,136.5,4.2,671,2,671,1344,2,4,1600,8,1600,127.8,133.55,144.97,否,否,否,是,否,否,MACD翻多,,,
2903,遠百,強勢噴出,雙主力連買,22.35,0.9,643,4,643,1290,1,5,3781,373,3781,22.34,22.27,22.57,否,是,否,否,否,否,—,,,
3376,新日興,強勢噴出,雙主力連買,180.0,5.26,310,1,310,621,2,4,512,5,512,171.9,187.28,200.52,否,否,否,否,否,否,—,,,
1904,正隆,低位啟動,雙主力連買,21.15,0.95,134,7,134,275,1,5,874,30,874,21.15,22.0,21.14,否,否,否,否,否,否,—,,,
2023,燁輝,低位啟動,雙主力連買,13.7,0.37,209,11,209,429,1,5,1033,52,1033,,,,,,,,,,—,,,
2313,華通,強勢噴出,雙主力連買,185.5,9.76,3962,19,3962,7943,2,3,19539,25,19539,172.3,207.47,239.43,否,否,是,否,否,否,KD黃金交叉,,,
9933,中鼎,強勢噴出,雙主力連買,36.0,2.13,1884,2,1884,3770,1,4,-1222,35,-1222,36.48,39.41,40.1,否,否,否,否,否,否,—,,,
2489,瑞軒,強勢噴出,雙主力連買,27.9,4.49,1112,2,1112,2226,1,4,7516,-1773,7516,,,,,,,,,,—,,,
1409,新纖,強勢噴出,雙主力連買,21.8,5.06,286,172,286,744,1,4,-1187,198,-1187,20.89,24.63,23.64,否,否,是,否,否,否,KD黃金交叉,,,
6579,研揚,強勢噴出,雙主力連買,163.0,5.84,320,2,320,642,1,4,94,7,94,,,,,,,,,,—,,,
1736,喬山,強勢噴出,雙主力連買,130.0,5.69,6,219,6,231,1,4,-478,277,-478,,,,,,,,,,—,,,
1215,卜蜂,低位啟動,雙主力連買,103.0,0.98,182,2,182,366,1,4,-62,8,-62,105.3,109.47,119.33,否,否,否,否,否,否,—,,,
2548,華固,低位啟動,雙主力連買,98.4,1.03,34,2,34,70,1,4,-1176,8,-1176,,,,,,,,,,—,,,
1773,勝一,趨勢持續,雙主力連買,151.5,0.66,15,2,15,32,1,4,-971,9,-971,150.1,167.4,173.32,否,否,否,否,否,否,—,,,
5469,瀚宇博,低位啟動,雙主力連買,67.4,0.75,30,3,30,63,1,4,-668,15,-668,66.0,73.18,80.65,否,否,否,否,否,否,—,,,
0056,元大高股息,強勢噴出,雙主力連買,49.82,0.69,9309,300,9309,18918,3,1,1815,906,1815,48.1,50.64,50.06,否,否,否,否,否,否,—,,,
6282,康舒,強勢噴出,雙主力連買,44.65,5.31,1898,338,1898,4134,2,2,3122,352,3122,41.89,49.99,55.36,否,否,否,否,否,否,—,,,
2454,聯發科,強勢噴出,雙主力連買,3910.0,9.99,1146,174,1146,2466,1,3,-5006,436,-5006,,,,,,,,,,—,,,
3017,奇鋐,強勢噴出,雙主力連買,2550.0,9.91,825,571,825,2221,1,3,-7,1546,-7,,,,,,,,,,—,,,
6139,亞翔,強勢噴出,雙主力連買,765.0,8.2,5,548,5,558,1,3,-1389,559,-1389,698.0,810.95,800.08,否,否,是,否,否,否,KD黃金交叉,,,
3443,創意,強勢噴出,雙主力連買,4185.0,9.99,272,53,272,597,1,3,173,288,173,3681.0,4069.5,4563.0,否,否,是,否,否,否,KD黃金交叉,,,
2850,新產,趨勢持續,雙主力連買,165.0,2.48,3,3,3,9,2,2,477,27,477,,,,,,,,,,—,,,
3033,威健,強勢噴出,雙主力連買,46.7,5.42,1514,310,1514,3338,1,2,143,313,143,44.5,48.92,49.13,否,否,是,否,否,否,KD黃金交叉,,,
3413,京鼎,強勢噴出,雙主力連買,315.5,5.87,463,30,463,956,2,1,-562,30,-562,298.6,333.15,322.95,否,否,是,否,否,否,KD黃金交叉,,,
4766,南寶,趨勢持續,雙主力連買,320.0,3.73,126,1,126,253,1,2,-16,7,-16,313.2,332.07,354.77,否,否,是,否,否,否,KD黃金交叉,,,
6670,復盛應用,趨勢持續,雙主力連買,259.5,2.17,106,17,106,229,1,2,-114,29,-114,262.0,262.02,265.95,否,是,否,否,否,否,—,,,
1319,東陽,低位啟動,雙主力連買,71.4,0.28,113,3,113,229,1,2,1085,58,1085,,,,,,,,,,—,,,
3661,世芯-KY,強勢噴出,雙主力連買,3250.0,6.21,9,1,9,19,1,2,-1430,-48,-1430,3003.0,3560.25,4183.33,否,否,否,否,否,否,—,,,
6526,達發,強勢噴出,雙主力連買,552.0,6.15,33,1,33,67,1,2,-154,36,-154,,,,,,,,,,—,,,
6285,啟碁,強勢噴出,雙主力連買,239.0,7.66,701,65,701,1467,1,1,3888,-628,3888,,,,,,,,,,—,,,
2476,鉅祥,強勢噴出,雙主力連買,119.0,4.85,328,126,328,782,1,1,572,126,572,111.0,121.03,122.23,否,否,否,否,否,否,—,,,
1440,南紡,強勢噴出,雙主力連買,12.25,0.82,389,9,389,787,1,1,-722,10,-722,,,,,,,,,,—,,,
6830,汎銓,強勢噴出,雙主力連買,380.5,9.97,142,57,142,341,1,1,24,217,24,,,,,,,,,,—,,,
2618,長榮航,強勢噴出,外資連買,43.7,0.92,13613,-3477,13613,23749,6,0,131511,-5199,131511,42.59,41.71,39.55,是,否,否,是,否,否,均線多頭、MACD翻多,,,
2610,華航,強勢噴出,外資連買,22.45,0.22,10116,-2010,10116,18222,6,0,115778,-436,115778,22.0,21.41,20.65,是,否,否,否,否,否,均線多頭,,,
4904,遠傳,強勢噴出,外資連買,103.5,1.47,5037,-622,5037,9452,6,0,27897,-916,27897,105.3,101.86,101.71,是,是,否,否,否,否,均線多頭,,,
2006,東和鋼鐵,強勢噴出,外資連買,80.4,7.77,4442,-233,4442,8651,6,0,8102,49,8102,74.66,71.66,68.82,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
2603,長榮,強勢噴出,外資連買,207.5,1.72,4139,-497,4139,7781,6,0,12002,-58,12002,202.8,199.65,205.62,否,是,是,否,否,否,KD黃金交叉,,,
2867,三商壽,強勢噴出,外資連買,9.82,0.82,4023,0,4023,8046,6,0,49564,0,49564,9.6,9.17,8.43,是,是,否,否,否,否,均線多頭,,,
6919,康霈*,強勢噴出,外資連買,109.5,6.31,2712,0,2712,5424,6,0,9426,0,9426,104.2,105.02,101.16,否,是,否,是,否,否,MACD翻多,,,
