代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
3014,聯陽,低位啟動,雙主力連買,130.5,0.0,92,16,92,200,5,6,744,52,744,,,,,,,,,,—,,,
2891,中信金,強勢噴出,雙主力連買,69.7,2.35,13796,2998,13796,30590,3,6,7818,10309,7818,67.76,66.11,66.36,否,是,是,否,否,否,KD黃金交叉,,,
6196,帆宣,趨勢持續,雙主力連買,518.0,0.39,228,1,228,457,3,6,1802,37,1802,523.6,504.07,519.62,否,是,否,否,否,否,—,,,
8464,億豐,趨勢持續,雙主力連買,382.0,1.19,162,4,162,328,6,3,370,58,370,,,,,,,,,,—,,,
2912,統一超,趨勢持續,雙主力連買,215.5,0.47,4,60,4,68,6,2,1064,47,1064,216.9,218.5,226.26,否,是,否,否,否,否,—,,,
5876,上海商銀,強勢噴出,雙主力連買,49.8,0.2,1222,647,1222,3091,6,1,10965,1416,10965,48.75,45.62,44.28,是,是,否,否,否,否,均線多頭,,,
3406,玉晶光,強勢噴出,雙主力連買,915.0,4.45,694,395,694,1783,2,5,-3358,4291,-3358,1021.8,901.4,689.84,是,是,否,否,否,否,均線多頭,,,
1102,亞泥,強勢噴出,雙主力連買,35.2,0.57,710,230,710,1650,6,1,9958,921,9958,35.27,34.98,34.31,是,是,否,否,否,否,均線多頭,,,
2385,群光,強勢噴出,雙主力連買,105.5,0.0,413,75,413,901,3,4,1064,207,1064,105.2,106.83,105.73,否,否,否,否,否,否,—,,,
9910,豐泰,低位啟動,雙主力連買,68.4,0.88,198,112,198,508,1,6,-1117,355,-1117,68.22,68.91,68.94,否,否,否,否,否,否,—,,,
8926,台汽電,低位啟動,雙主力連買,57.4,0.0,133,30,133,296,1,6,-4505,220,-4505,,,,,,,,,,—,,,
6526,達發,趨勢持續,雙主力連買,623.0,1.14,6,1,6,13,6,1,255,-5,255,632.4,617.6,618.65,否,是,否,否,否,否,—,,,
2382,廣達,強勢噴出,雙主力連買,333.0,0.15,522,432,522,1476,3,3,13077,572,13077,336.0,334.23,337.43,否,是,否,否,否,否,—,,,
6213,聯茂,強勢噴出,雙主力連買,519.0,0.78,733,119,733,1585,2,4,2027,142,2027,517.0,525.92,414.32,否,是,是,否,否,否,KD黃金交叉,,,
6278,台表科,趨勢持續,雙主力連買,180.5,2.85,145,50,145,340,3,3,911,1230,911,,,,,,,,,,—,,,
9941,裕融,低位啟動,雙主力連買,81.0,0.75,86,1,86,173,4,2,1006,207,1006,80.7,83.24,82.61,否,否,否,否,否,否,—,,,
2609,陽明,強勢噴出,雙主力連買,58.8,0.86,2547,86,2547,5180,1,4,28860,481,28860,58.8,59.15,53.82,否,是,否,否,否,否,—,,,
9904,寶成,強勢噴出,雙主力連買,24.25,0.83,1381,188,1381,2950,1,4,-20241,489,-20241,24.23,24.66,24.52,否,否,否,否,否,否,—,,,
