代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2412,中華電,強勢噴出,雙主力連買,142.5,1.42,11848,87,11848,23783,6,4,36087,592,36087,140.2,137.5,138.38,否,是,否,否,是,否,布林突破,,,
3014,聯陽,低位啟動,雙主力連買,130.5,0.0,222,1,222,445,4,6,381,60,381,130.7,130.82,136.97,否,否,否,否,否,否,—,,,
2207,和泰車,趨勢持續,雙主力連買,538.0,1.51,32,13,32,77,4,6,42,45,42,,,,,,,,,,—,,,
2892,第一金,強勢噴出,雙主力連買,39.85,2.44,11783,3923,11783,27489,5,4,51010,20091,51010,38.48,35.7,34.48,是,是,否,否,否,否,均線多頭,,,
2887,台新新光金,強勢噴出,雙主力連買,43.55,2.11,8494,5486,8494,22474,2,6,-26021,53547,-26021,42.71,39.5,36.26,是,是,否,否,否,否,均線多頭,,,
2891,中信金,強勢噴出,雙主力連買,68.1,1.49,5212,3131,5212,13555,2,6,-5122,12519,-5122,67.46,65.95,66.37,否,是,否,否,否,否,—,,,
3005,神基,強勢噴出,雙主力連買,116.5,0.87,1100,5,1100,2205,4,4,2346,83,2346,114.9,115.78,112.01,否,否,否,否,否,否,—,,,
2371,大同,強勢噴出,雙主力連買,27.65,0.73,676,116,676,1468,2,6,2829,493,2829,,,,,,,,,,—,,,
6191,精成科,低位啟動,雙主力連買,82.0,0.37,91,17,91,199,2,6,720,58,720,,,,,,,,,,—,,,
2393,億光,低位啟動,雙主力連買,62.5,0.64,31,2,31,64,2,6,-593,94,-593,62.34,64.59,65.55,否,否,否,否,否,否,—,,,
2597,潤弘,趨勢持續,雙主力連買,167.0,1.21,2,1,2,5,6,2,556,5,556,,,,,,,,,,—,,,
2303,聯電,強勢噴出,雙主力連買,142.5,1.42,13698,4381,13698,31777,1,6,-49818,28357,-49818,140.8,128.82,137.5,否,是,否,否,否,否,—,,,
2845,遠東銀,強勢噴出,雙主力連買,13.75,0.36,1702,3825,1702,7229,6,1,11843,-445,11843,13.63,13.55,13.34,是,是,否,否,否,否,均線多頭,,,
2353,宏碁,強勢噴出,雙主力連買,31.4,0.96,4348,341,4348,9037,1,6,-3846,924,-3846,31.37,31.36,31.21,是,否,否,否,否,否,均線多頭,,,
2883,凱基金,強勢噴出,雙主力連買,38.8,2.51,1017,2189,1017,4223,3,4,12348,9335,12348,37.58,34.24,31.51,是,是,否,否,否,否,均線多頭,,,
2855,統一證,強勢噴出,雙主力連買,52.9,1.93,1854,1188,1854,4896,2,5,-1189,7275,-1189,52.16,49.29,47.74,是,是,否,否,否,否,均線多頭,,,
2880,華南金,強勢噴出,雙主力連買,46.3,0.98,2490,15,2490,4995,6,1,19145,-344,19145,45.29,41.99,40.78,是,是,否,否,否,否,均線多頭,,,
5871,中租-KY,強勢噴出,雙主力連買,113.5,1.79,2055,105,2055,4215,1,6,1871,820,1871,112.9,113.25,114.72,否,是,是,否,否,否,KD黃金交叉,,,
1504,東元,強勢噴出,雙主力連買,70.3,1.15,968,140,968,2076,1,6,302,396,302,70.34,71.65,69.14,否,是,否,否,否,否,—,,,
2454,聯發科,強勢噴出,雙主力連買,4560.0,0.55,734,106,734,1574,1,6,1220,633,1220,4640.0,4187.25,4001.92,是,是,否,否,否,否,均線多頭,,,
6196,帆宣,強勢噴出,雙主力連買,520.0,1.76,688,7,688,1383,2,5,1174,39,1174,,,,,,,,,,—,,,
1802,台玻,強勢噴出,雙主力連買,57.8,0.7,694,60,694,1448,1,6,361,209,361,,,,,,,,,,—,,,
6282,康舒,低位啟動,雙主力連買,42.5,0.59,263,51,263,577,1,6,-2582,214,-2582,43.08,44.33,49.24,否,否,否,否,否,否,—,,,
7795,長廣,趨勢持續,雙主力連買,491.0,3.37,202,1,202,405,1,6,-353,43,-353,527.0,538.35,501.18,否,否,否,否,否,否,—,,,
3708,上緯投控,低位啟動,雙主力連買,96.9,1.25,156,13,156,325,1,6,-7,54,-7,,,,,,,,,,—,,,
8464,億豐,趨勢持續,雙主力連買,377.5,1.75,71,52,71,194,5,2,379,43,379,,,,,,,,,,—,,,
4736,泰博,低位啟動,雙主力連買,128.5,0.78,60,10,60,130,1,6,204,67,204,126.8,131.53,129.53,否,否,否,否,否,否,—,,,
1476,儒鴻,趨勢持續,雙主力連買,288.0,0.17,69,10,69,148,1,6,-2370,60,-2370,292.4,308.23,324.82,否,否,否,否,否,否,—,,,
2886,兆豐金,強勢噴出,雙主力連買,52.5,1.55,3940,3063,3940,10943,3,3,27226,11764,27226,51.0,48.66,48.16,是,是,否,否,是,否,均線多頭、布林突破,,,
3034,聯詠,強勢噴出,雙主力連買,556.0,1.65,1861,6,1861,3728,4,2,4606,233,4606,545.0,539.7,525.23,是,是,否,是,否,否,均線多頭、MACD翻多,,,
3702,大聯大,強勢噴出,雙主力連買,107.0,0.47,1592,26,1592,3210,5,1,8761,-988,8761,106.2,105.16,110.89,否,否,否,否,否,否,—,,,
4904,遠傳,強勢噴出,雙主力連買,106.0,0.47,1106,34,1106,2246,5,1,5296,1016,5296,104.8,102.62,102.65,否,是,否,否,是,否,布林突破,,,
2379,瑞昱,強勢噴出,雙主力連買,713.0,1.28,1062,4,1062,2128,4,2,3041,-31,3041,702.0,718.1,747.63,否,否,是,否,否,否,KD黃金交叉,,,
3037,欣興,強勢噴出,雙主力連買,970.0,0.73,950,331,950,2231,2,4,6141,1644,6141,977.6,1036.25,956.3,否,否,否,否,否,否,—,,,
2912,統一超,強勢噴出,雙主力連買,216.5,0.0,393,4,393,790,5,1,1292,-11,1292,217.2,218.47,226.35,否,是,否,否,否,否,—,,,
2395,研華,趨勢持續,雙主力連買,670.0,0.6,143,25,143,311,3,3,1054,-568,1054,,,,,,,,,,—,,,
2059,川湖,趨勢持續,雙主力連買,11990.0,0.76,9,1,9,19,5,1,141,-306,141,,,,,,,,,,—,,,
2377,微星,強勢噴出,雙主力連買,150.5,1.01,1601,68,1601,3270,2,3,97,-524,97,151.5,149.6,147.04,是,否,否,否,否,否,均線多頭,,,
2882,國泰金,強勢噴出,雙主力連買,112.5,1.81,191,826,191,1208,3,2,-2918,1299,-2918,111.5,106.91,101.7,是,是,否,否,否,否,均線多頭,,,
2489,瑞軒,強勢噴出,雙主力連買,39.3,6.5,324,4,324,652,3,2,26,30,26,,,,,,,,,,—,,,
2385,群光,強勢噴出,雙主力連買,105.5,0.48,375,4,375,754,2,3,-948,160,-948,105.2,106.78,105.88,否,否,否,否,否,否,—,,,
