代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2610,華航,強勢噴出,雙主力連買,22.4,3.23,37781,389,37781,75951,6,6,117481,6033,117481,21.76,21.42,20.59,是,否,否,是,否,否,均線多頭、MACD翻多,,,
5880,合庫金,強勢噴出,雙主力連買,27.6,2.22,25973,844,25973,52790,6,6,105023,3276,105023,26.52,25.59,24.25,是,是,否,否,是,否,均線多頭、布林突破,,,
2884,玉山金,強勢噴出,雙主力連買,38.65,2.52,17607,1548,17607,36762,6,6,57982,4263,57982,37.1,35.58,33.91,是,是,否,否,是,否,均線多頭、布林突破,,,
1402,遠東新,強勢噴出,雙主力連買,27.15,0.0,13943,18,13943,27904,6,6,28043,2586,28043,27.28,27.54,27.29,否,否,否,否,否,否,—,,,
3045,台灣大,強勢噴出,雙主力連買,112.5,1.35,5165,1491,5165,11821,6,6,26928,2329,26928,113.5,112.53,114.47,否,否,否,否,否,否,—,,,
1102,亞泥,強勢噴出,雙主力連買,33.0,0.61,3285,34,3285,6604,6,6,11405,147,11405,33.02,34.01,34.5,否,否,否,否,否,否,—,,,
2603,長榮,強勢噴出,雙主力連買,204.0,1.49,1387,146,1387,2920,6,6,8754,517,8754,,,,,,,,,,—,,,
2006,東和鋼鐵,強勢噴出,雙主力連買,74.6,1.63,1635,6,1635,3276,6,6,4979,576,4979,,,,,,,,,,—,,,
3703,欣陸,低位啟動,雙主力連買,20.6,0.0,274,3,274,551,6,6,2363,13,2363,,,,,,,,,,—,,,
9917,中保科,低位啟動,雙主力連買,109.0,1.87,59,2,59,120,6,6,1140,84,1140,110.4,108.22,111.7,否,是,否,否,否,否,—,,,
2002,中鋼,強勢噴出,雙主力連買,18.95,0.0,8568,132,8568,17268,6,4,56365,297,56365,19.02,18.82,18.82,否,是,否,否,否,否,—,,,
2206,三陽工業,強勢噴出,雙主力連買,64.8,0.15,719,6,719,1444,6,4,4209,19,4209,63.76,63.4,61.53,是,是,否,是,否,否,均線多頭、MACD翻多,,,
2890,永豐金,強勢噴出,雙主力連買,40.6,4.5,22905,2455,22905,48265,3,6,39524,9912,39524,39.26,39.86,35.64,否,否,否,否,否,否,—,,,
2881,富邦金,強勢噴出,雙主力連買,130.0,4.84,7426,3198,7426,18050,3,6,7338,10116,7338,126.5,125.42,117.97,是,是,是,否,否,是,均線多頭、KD黃金交叉、爆量長紅,,,
2646,星宇航空,強勢噴出,雙主力連買,21.65,0.46,3047,9,3047,6103,5,4,13968,29,13968,21.62,21.39,20.9,是,是,否,否,否,否,均線多頭,,,
1101,台泥,強勢噴出,雙主力連買,24.3,1.04,2275,87,2275,4637,5,4,40444,172,40444,24.38,23.73,24.12,否,是,否,否,否,否,—,,,
6605,帝寶,強勢噴出,雙主力連買,134.0,1.9,418,2,418,838,6,3,796,4,796,131.8,131.85,135.28,否,否,否,否,否,否,—,,,
