代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
5876,上海商銀,強勢噴出,雙主力連買,47.5,2.7,387,88,387,862,6,5,21489,5180,21489,,,,,,,,,,—,,,
6805,富世達,強勢噴出,雙主力連買,2295.0,6.5,12,312,12,336,6,3,347,-102,347,,,,,,,,,,—,,,
7769,鴻勁,趨勢持續,雙主力連買,6720.0,3.86,90,9,90,189,6,3,791,343,791,6421.0,6356.0,6433.33,否,是,否,否,否,否,—,,,
4736,泰博,低位啟動,雙主力連買,125.5,0.8,39,25,39,103,3,6,85,87,85,,,,,,,,,,—,,,
1102,亞泥,強勢噴出,雙主力連買,35.4,0.57,4294,95,4294,8683,2,6,3680,4166,3680,35.19,34.54,34.35,是,是,否,否,否,否,均線多頭,,,
1605,華新,強勢噴出,雙主力連買,38.35,0.66,2366,69,2366,4801,2,6,6252,462,6252,38.07,38.26,36.1,否,是,否,否,否,否,—,,,
8215,明基材,低位啟動,雙主力連買,25.5,1.39,54,23,54,131,2,6,-481,177,-481,25.37,24.92,26.13,否,是,否,否,否,否,—,,,
1101,台泥,強勢噴出,雙主力連買,24.75,1.85,17399,100,17399,34898,1,6,-4006,699,-4006,24.48,24.46,24.11,是,否,否,否,否,否,均線多頭,,,
2382,廣達,強勢噴出,雙主力連買,342.0,4.27,13098,5,13098,26201,1,6,15493,1864,15493,339.5,332.98,340.0,否,是,否,否,否,否,—,,,
2353,宏碁,強勢噴出,雙主力連買,31.8,2.42,7398,97,7398,14893,1,6,-13469,2404,-13469,31.82,31.43,31.45,否,是,否,否,否,否,—,,,
2412,中華電,強勢噴出,雙主力連買,139.5,0.36,4571,898,4571,10040,6,1,18163,131,18163,138.4,136.72,138.61,否,是,否,否,是,否,布林突破,,,
3037,欣興,強勢噴出,雙主力連買,993.0,4.09,3790,870,3790,8450,6,1,9465,-5325,9465,944.2,1046.2,956.23,否,否,是,否,否,否,KD黃金交叉,,,
3045,台灣大,強勢噴出,雙主力連買,119.5,1.27,3244,905,3244,7393,6,1,17475,2463,17475,118.1,114.85,114.29,是,是,否,否,否,否,均線多頭,,,
2603,長榮,強勢噴出,雙主力連買,234.0,2.18,2413,248,2413,5074,1,6,-3954,3635,-3954,233.6,235.38,210.77,否,是,是,否,否,否,KD黃金交叉,,,
2542,興富發,強勢噴出,雙主力連買,48.2,1.05,1376,1342,1376,4094,1,6,-2636,11147,-2636,48.22,47.73,45.1,是,是,否,否,否,否,均線多頭,,,
1802,台玻,強勢噴出,雙主力連買,60.2,0.5,2411,49,2411,4871,1,6,-1094,272,-1094,59.7,58.92,59.9,否,是,否,否,否,否,—,,,
2371,大同,強勢噴出,雙主力連買,28.05,0.9,1703,48,1703,3454,3,4,1532,202,1532,,,,,,,,,,—,,,
6278,台表科,強勢噴出,雙主力連買,193.5,2.65,451,840,451,1742,1,6,-1259,2642,-1259,,,,,,,,,,—,,,
2455,全新,強勢噴出,雙主力連買,533.0,3.5,1147,49,1147,2343,6,1,7039,-132,7039,,,,,,,,,,—,,,
2352,佳世達,強勢噴出,雙主力連買,28.8,0.52,603,73,603,1279,1,6,-636,728,-636,28.84,28.66,29.82,否,否,否,否,否,否,—,,,
6191,精成科,強勢噴出,雙主力連買,83.1,1.71,673,14,673,1360,1,6,356,72,356,82.3,83.29,90.6,否,否,否,否,否,否,—,,,
1514,亞力,強勢噴出,雙主力連買,103.5,1.47,484,141,484,1109,2,5,666,186,666,102.1,102.08,108.59,否,是,否,否,否,否,—,,,
2023,燁輝,強勢噴出,雙主力連買,14.0,0.36,401,3,401,805,6,1,1504,3,1504,,,,,,,,,,—,,,
8926,台汽電,趨勢持續,雙主力連買,59.3,3.67,297,19,297,613,1,6,-589,132,-589,,,,,,,,,,—,,,
2528,皇普,低位啟動,雙主力連買,20.2,0.25,77,10,77,164,6,1,358,66,358,20.1,20.27,21.01,否,否,否,否,否,否,—,,,
3015,全漢,低位啟動,雙主力連買,52.5,0.19,20,6,20,46,1,6,-274,83,-274,52.68,53.61,57.41,否,否,否,否,否,否,—,,,
1210,大成,低位啟動,雙主力連買,52.5,0.0,21,2,21,44,6,1,1344,-8,1344,,,,,,,,,,—,,,
2247,汎德永業,趨勢持續,雙主力連買,232.5,0.22,6,1,6,13,6,1,59,2,59,,,,,,,,,,—,,,
