代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
3706,神達,強勢噴出,雙主力連買,92.0,0.88,988,1404,988,3380,4,5,3787,7558,3787,90.24,89.29,87.23,是,是,否,否,否,否,均線多頭,,,
6196,帆宣,趨勢持續,雙主力連買,543.0,0.93,127,32,127,286,3,6,70,68,70,538.2,555.3,497.72,否,否,否,否,否,否,—,,,
2615,萬海,低位啟動,雙主力連買,84.5,0.72,123,55,123,301,5,4,23559,-451,23559,,,,,,,,,,—,,,
2317,鴻海,強勢噴出,雙主力連買,257.5,2.39,23754,559,23754,48067,4,4,59859,3071,59859,244.7,243.1,253.98,否,否,否,否,是,否,布林突破,,,
8114,振樺電,強勢噴出,雙主力連買,232.0,4.98,390,108,390,888,6,2,1118,228,1118,,,,,,,,,,—,,,
2313,華通,強勢噴出,雙主力連買,214.0,2.88,8440,3,8440,16883,1,6,-12484,847,-12484,208.6,223.7,247.66,否,否,否,否,否,否,—,,,
3665,貿聯-KY,強勢噴出,雙主力連買,2285.0,8.04,392,1278,392,2062,1,6,-1892,3790,-1892,1997.0,1939.75,2196.83,否,是,否,否,是,是,布林突破、爆量長紅,,,
3017,奇鋐,強勢噴出,雙主力連買,2440.0,7.73,1382,133,1382,2897,1,6,-793,1303,-793,2272.0,2379.75,2496.83,否,否,否,是,否,是,MACD翻多、爆量長紅,,,
8046,南電,強勢噴出,雙主力連買,1230.0,6.49,482,667,482,1631,1,6,-4504,3873,-4504,1196.0,1179.75,983.12,是,是,否,否,否,否,均線多頭,,,
8033,雷虎,強勢噴出,雙主力連買,190.5,3.25,472,78,472,1022,2,5,-1013,389,-1013,,,,,,,,,,—,,,
3026,禾伸堂,強勢噴出,雙主力連買,697.0,5.13,352,56,352,760,6,1,6966,-564,6966,,,,,,,,,,—,,,
2466,冠西電,強勢噴出,雙主力連買,104.0,12.43,111,79,111,301,2,5,-179,395,-179,115.7,93.95,64.4,是,是,否,否,否,否,均線多頭,,,
7769,鴻勁,趨勢持續,雙主力連買,6465.0,0.94,71,6,71,148,1,6,-126,130,-126,,,,,,,,,,—,,,
1718,中纖,強勢噴出,雙主力連買,11.35,9.66,17362,539,17362,35263,1,5,-1277,2686,-1277,12.71,13.4,9.56,否,是,否,否,否,是,爆量長紅,,,
2324,仁寶,強勢噴出,雙主力連買,36.75,1.52,11036,94,11036,22166,3,3,39079,-2198,39079,35.87,35.61,34.67,是,否,否,是,否,否,均線多頭、MACD翻多,,,
3702,大聯大,強勢噴出,雙主力連買,121.5,2.97,943,2736,943,4622,1,5,-5494,7234,-5494,113.4,110.88,111.36,否,是,否,否,是,否,布林突破,,,
1515,力山,強勢噴出,雙主力連買,34.5,12.38,670,79,670,1419,1,5,-1094,394,-1094,40.06,38.59,28.33,是,是,否,否,否,否,均線多頭,,,
6226,光鼎,強勢噴出,雙主力連買,18.0,6.51,613,56,613,1282,1,5,-3019,279,-3019,,,,,,,,,,—,,,
2027,大成鋼,強勢噴出,雙主力連買,44.4,1.49,454,18,454,926,3,3,31158,5462,31158,,,,,,,,,,—,,,
6525,捷敏-KY,強勢噴出,雙主力連買,149.0,4.2,557,34,557,1148,1,5,3007,164,3007,,,,,,,,,,—,,,
6834,天二科技,強勢噴出,雙主力連買,97.0,3.74,311,32,311,654,1,5,182,158,182,,,,,,,,,,—,,,
8476,台境*,強勢噴出,雙主力連買,24.55,5.59,260,62,260,582,1,5,-131,306,-131,,,,,,,,,,—,,,
2375,凱美,趨勢持續,雙主力連買,142.5,2.15,232,55,232,519,1,5,2615,272,2615,142.2,183.38,153.16,否,否,否,否,否,否,—,,,
6155,鈞寶,趨勢持續,雙主力連買,58.1,3.75,120,37,120,277,1,5,420,184,420,59.32,74.43,68.76,否,否,否,否,否,否,—,,,
3550,聯穎,低位啟動,雙主力連買,22.6,1.12,58,48,58,164,1,5,-351,239,-351,22.44,28.16,25.49,否,否,否,否,否,否,—,,,
2484,希華,趨勢持續,雙主力連買,69.4,4.05,3,79,3,85,1,5,-3960,394,-3960,,,,,,,,,,—,,,
3060,銘異,低位啟動,雙主力連買,29.9,0.84,3,74,3,80,1,5,-1750,370,-1750,,,,,,,,,,—,,,
8261,富鼎,強勢噴出,雙主力連買,235.0,8.8,5,44,5,54,1,5,1892,221,1892,242.5,286.1,203.68,否,是,否,否,否,否,—,,,
3231,緯創,強勢噴出,雙主力連買,173.5,5.79,79016,1307,79016,159339,4,1,122231,-8811,122231,153.9,152.75,152.34,是,否,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
