代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
9910,豐泰,強勢噴出,雙主力連買,71.3,1.57,1170,54,1170,2394,6,6,2493,269,2493,69.62,68.7,71.81,否,是,否,否,是,否,布林突破,,,
1402,遠東新,強勢噴出,雙主力連買,27.3,0.18,6558,64,6558,13180,6,5,44291,370,44291,27.15,27.28,27.37,否,是,否,否,否,否,—,,,
9904,寶成,強勢噴出,雙主力連買,24.05,0.21,772,115,772,1659,4,6,-14899,571,-14899,,,,,,,,,,—,,,
2105,正新,強勢噴出,雙主力連買,31.8,0.32,397,117,397,911,5,5,4277,539,4277,31.28,31.46,31.93,否,否,否,否,否,否,—,,,
2609,陽明,強勢噴出,雙主力連買,52.0,0.78,6857,40,6857,13754,3,6,9623,216,9623,51.02,50.62,51.32,否,是,否,否,否,否,—,,,
1717,長興,強勢噴出,雙主力連買,71.9,2.71,3399,391,3399,7189,3,6,11653,1598,11653,68.16,63.63,71.53,否,否,否,否,否,否,—,,,
2408,南亞科,強勢噴出,雙主力連買,489.0,2.73,15172,312,15172,30656,6,2,64266,4004,64266,470.4,421.45,398.19,是,是,否,否,否,否,均線多頭,,,
2603,長榮,強勢噴出,雙主力連買,218.0,1.87,7309,45,7309,14663,4,3,18511,1771,18511,209.7,204.2,205.51,否,是,否,否,是,否,布林突破,,,
1216,統一,強勢噴出,雙主力連買,75.9,0.53,6599,10,6599,13208,6,1,44332,-1194,44332,74.66,76.55,75.3,否,否,否,否,否,否,—,,,
2354,鴻準,強勢噴出,雙主力連買,62.7,0.64,2143,1,2143,4287,6,1,18776,-6,18776,60.82,56.77,57.69,否,是,否,否,是,否,布林突破,,,
1904,正隆,強勢噴出,雙主力連買,24.5,1.24,1795,2,1795,3592,6,1,8462,2,8462,23.01,21.89,21.55,是,是,否,否,是,否,均線多頭、布林突破,,,
2353,宏碁,強勢噴出,雙主力連買,31.05,0.16,1109,93,1109,2311,2,5,14061,528,14061,,,,,,,,,,—,,,
2542,興富發,強勢噴出,雙主力連買,44.55,0.45,233,513,233,979,1,6,-1680,2461,-1680,,,,,,,,,,—,,,
8021,尖點,強勢噴出,雙主力連買,439.0,1.04,447,9,447,903,2,5,-974,1343,-974,416.4,398.98,463.4,否,否,否,否,否,否,—,,,
2379,瑞昱,強勢噴出,雙主力連買,772.0,1.85,314,32,314,660,1,6,1167,275,1167,755.0,734.5,708.95,是,否,否,否,否,否,均線多頭,,,
2330,台積電,強勢噴出,雙主力連買,2395.0,0.63,3498,357,3498,7353,3,3,12497,-718,12497,2383.0,2357.5,2360.75,否,否,否,否,否,否,—,,,
2474,可成,強勢噴出,雙主力連買,206.0,2.49,2347,28,2347,4722,2,4,2968,12,2968,192.7,188.2,199.46,否,是,否,否,是,否,布林突破,,,
2023,燁輝,低位啟動,雙主力連買,13.85,0.36,63,4,63,130,5,1,955,4,955,13.79,13.77,13.77,是,否,否,否,否,否,均線多頭,,,
2883,凱基金,強勢噴出,雙主力連買,31.05,0.0,68,5286,68,5422,1,4,14101,19406,14101,31.03,30.36,28.05,是,是,否,否,否,否,均線多頭,,,
2357,華碩,強勢噴出,雙主力連買,839.0,2.57,1302,93,1302,2697,3,2,5522,-446,5522,826.0,769.3,753.88,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
1440,南紡,強勢噴出,雙主力連買,13.7,1.48,1067,3,1067,2137,4,1,3617,3,3617,12.93,12.75,13.01,否,否,否,否,是,否,布林突破,,,
2347,聯強,低位啟動,雙主力連買,91.0,1.0,15,135,15,165,1,4,1253,1553,1253,,,,,,,,,,—,,,
3036,文曄,強勢噴出,雙主力連買,220.0,4.27,397,53,397,847,2,3,-6087,607,-6087,,,,,,,,,,—,,,
1303,南亞,強勢噴出,雙主力連買,190.0,2.7,7475,4500,7475,19450,1,3,-26190,1224,-26190,183.7,182.15,147.53,是,否,否,是,否,否,均線多頭、MACD翻多,,,
2890,永豐金,強勢噴出,雙主力連買,39.05,0.39,3172,9,3172,6353,3,1,11619,-2138,11619,39.03,39.4,36.65,否,否,否,否,否,否,—,,,
2385,群光,強勢噴出,雙主力連買,104.5,1.46,1314,14,1314,2642,2,2,2070,-311,2070,103.3,104.35,116.35,否,否,否,否,否,否,—,,,
2383,台光電,趨勢持續,雙主力連買,5535.0,4.63,260,118,260,638,2,2,303,237,303,5323.0,4894.25,5082.42,否,是,否,否,否,否,—,,,
2849,安泰銀,趨勢持續,雙主力連買,14.4,2.13,30,3,30,63,3,1,-47,3,-47,14.53,14.86,14.37,否,否,否,否,否,否,—,,,
5871,中租-KY,強勢噴出,雙主力連買,115.5,5.96,7474,20,7474,14968,1,2,1879,-526,1879,110.9,116.1,115.04,否,否,是,否,否,是,KD黃金交叉、爆量長紅,,,
1434,福懋,強勢噴出,雙主力連買,17.75,0.28,891,4,891,1786,2,1,1209,4,1209,,,,,,,,,,—,,,
6139,亞翔,趨勢持續,雙主力連買,812.0,0.5,299,97,299,695,1,2,-737,-120,-737,811.6,789.5,811.28,否,否,否,否,否,否,—,,,
2368,金像電,強勢噴出,雙主力連買,964.0,4.1,1450,1533,1450,4433,1,1,-2302,-3200,-2302,959.4,907.95,1158.32,否,否,否,否,否,否,—,,,
3443,創意,強勢噴出,雙主力連買,4955.0,9.38,164,13,164,341,1,1,129,41,129,4580.0,4116.0,4484.42,否,是,否,否,是,是,布林突破、爆量長紅,,,
2360,致茂,趨勢持續,雙主力連買,2080.0,2.46,194,18,194,406,1,1,1690,-1427,1690,,,,,,,,,,—,,,
8112,至上,強勢噴出,外資連買,100.0,8.23,33079,-6,33079,66152,6,0,54178,-734,54178,91.76,85.37,88.91,否,是,否,否,是,是,布林突破、爆量長紅,,,
9921,巨大,強勢噴出,外資連買,111.5,9.85,4528,-1,4528,9055,6,0,9983,-1,9983,96.14,87.96,78.23,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
2891,中信金,強勢噴出,外資連買,66.8,0.45,4796,-261,4796,9331,6,0,30228,967,30228,65.9,63.92,65.48,否,否,否,否,否,否,—,,,
2392,正崴,強勢噴出,外資連買,39.6,4.35,1755,0,1755,3510,6,0,4055,0,4055,37.78,35.74,37.65,否,是,否,否,是,是,布林突破、爆量長紅,,,
2393,億光,強勢噴出,外資連買,64.2,2.88,1337,-4,1337,2670,6,0,4435,-321,4435,61.92,64.03,66.22,否,否,否,是,否,否,MACD翻多,,,
2376,技嘉,強勢噴出,外資連買,350.5,0.29,1050,-14,1050,2086,6,0,10437,-1616,10437,,,,,,,,,,—,,,
3006,晶豪科,強勢噴出,外資連買,267.5,3.08,684,-10,684,1358,6,0,18413,5,18413,,,,,,,,,,—,,,
1304,台聚,強勢噴出,外資連買,11.95,1.27,462,0,462,924,6,0,2029,0,2029,11.8,12.28,12.84,否,否,否,是,否,否,MACD翻多,,,
6456,GIS-KY,強勢噴出,外資連買,70.6,4.44,427,0,427,854,6,0,2816,0,2816,64.28,62.27,69.72,否,否,否,否,否,是,爆量長紅,,,
2108,南帝,強勢噴出,外資連買,29.75,0.34,442,0,442,884,6,0,3199,0,3199,28.69,28.02,28.34,否,是,否,否,是,否,布林突破,,,
2009,第一銅,強勢噴出,外資連買,40.05,1.01,437,0,437,874,6,0,4079,0,4079,39.44,37.51,38.84,否,是,否,否,否,否,—,,,
1907,永豐餘,強勢噴出,外資連買,30.25,2.02,378,-24,378,732,6,0,2538,-24,2538,30.41,28.97,27.12,是,是,否,否,否,否,均線多頭,,,
9934,成霖,強勢噴出,外資連買,11.4,5.56,468,0,468,936,6,0,3543,0,3543,11.15,10.76,10.38,是,是,否,否,否,是,均線多頭、爆量長紅,,,
4746,台耀,低位啟動,外資連買,55.0,1.1,220,0,220,440,6,0,1147,0,1147,53.84,52.14,52.44,否,否,否,否,否,否,—,,,
6962,奕力-KY,低位啟動,外資連買,33.8,1.05,235,0,235,470,6,0,1491,-15,1491,32.31,32.17,35.71,否,否,否,否,否,否,—,,,
1308,亞聚,低位啟動,外資連買,13.6,0.37,227,0,227,454,6,0,2859,0,2859,13.35,13.58,13.78,否,否,否,否,否,否,—,,,
4961,天鈺,趨勢持續,外資連買,173.0,0.58,210,0,210,420,6,0,2141,-10,2141,,,,,,,,,,—,,,
3034,聯詠,趨勢持續,外資連買,538.0,1.13,249,-3,249,495,6,0,4070,-529,4070,,,,,,,,,,—,,,
6189,豐藝,低位啟動,外資連買,49.3,0.51,170,-1,170,339,6,0,841,-6,841,,,,,,,,,,—,,,
4536,拓凱,趨勢持續,外資連買,171.5,0.0,98,0,98,196,6,0,369,-40,369,169.3,166.47,165.06,是,否,否,否,是,否,均線多頭、布林突破,,,
3346,麗清,低位啟動,外資連買,21.0,0.72,78,0,78,156,6,0,321,0,321,20.7,20.43,22.25,否,否,否,否,否,否,—,,,
6235,華孚,低位啟動,外資連買,39.2,1.42,76,0,76,152,6,0,674,0,674,39.3,38.95,40.93,否,否,否,否,否,否,—,,,
8411,福貞-KY,低位啟動,外資連買,13.0,0.39,38,0,38,76,6,0,80,0,80,,,,,,,,,,—,,,
1708,東鹼,低位啟動,外資連買,49.25,1.44,47,0,47,94,6,0,542,-14,542,,,,,,,,,,—,,,
3027,盛達,低位啟動,外資連買,18.35,1.38,34,0,34,68,6,0,200,0,200,18.5,18.66,19.8,否,否,否,否,否,否,—,,,
8215,明基材,趨勢持續,外資連買,24.8,3.12,34,-3,34,65,6,0,645,-2,645,24.58,24.25,27.64,否,否,否,否,否,否,—,,,
3708,上緯投控,低位啟動,外資連買,102.5,0.49,45,0,45,90,6,0,414,0,414,99.04,96.88,109.88,否,否,否,否,否,否,—,,,
7721,微程式,低位啟動,外資連買,63.2,0.48,17,0,17,34,6,0,43,0,43,62.12,61.55,70.4,否,否,否,否,否,否,—,,,
1776,展宇,低位啟動,外資連買,17.05,0.29,22,0,22,44,6,0,81,0,81,16.92,17.31,18.34,否,否,否,是,否,否,MACD翻多,,,
1786,科妍,低位啟動,外資連買,51.2,1.19,16,0,16,32,6,0,215,0,215,50.49,50.35,53.55,否,否,否,否,否,否,—,,,
2008,高興昌,低位啟動,外資連買,30.75,1.82,4,0,4,8,6,0,28,0,28,,,,,,,,,,—,,,
1439,雋揚,低位啟動,外資連買,28.85,1.41,1,0,1,2,6,0,33,0,33,28.7,27.21,25.68,是,是,否,否,否,否,均線多頭,,,
6768,志強-KY,低位啟動,外資連買,67.5,0.6,123,-149,123,97,6,0,1092,-630,1092,,,,,,,,,,—,,,
1590,亞德客-KY,趨勢持續,外資連買,1560.0,0.65,106,-228,106,-16,6,0,377,-657,377,,,,,,,,,,—,,,
2002,中鋼,強勢噴出,外資連買,19.75,0.51,29246,-33,29246,58459,5,0,127226,-26,127226,19.27,18.98,18.9,是,是,否,否,是,否,均線多頭、布林突破,,,
