代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
3017,奇鋐,強勢噴出,雙主力連買,2940.0,7.69,2310,908,2310,5528,4,6,4176,3008,4176,2628.0,2340.5,2462.75,否,是,否,否,是,是,布林突破、爆量長紅,,,
1402,遠東新,強勢噴出,雙主力連買,27.0,1.12,14490,117,14490,29097,6,2,38821,-3840,38821,26.98,27.21,27.33,否,否,否,否,否,否,—,,,
3706,神達,強勢噴出,雙主力連買,92.9,1.09,7494,476,7494,15464,5,2,24666,754,24666,90.6,89.72,88.02,是,是,否,否,否,否,均線多頭,,,
3661,世芯-KY,趨勢持續,雙主力連買,3660.0,1.39,128,8,128,264,2,5,-31,51,-31,,,,,,,,,,—,,,
1590,亞德客-KY,趨勢持續,雙主力連買,1560.0,3.31,41,13,41,95,4,3,88,79,88,,,,,,,,,,—,,,
2317,鴻海,強勢噴出,雙主力連買,264.5,2.32,21743,135,21743,43621,5,1,120844,2224,120844,255.3,245.05,255.52,否,是,否,否,是,否,布林突破,,,
2377,微星,強勢噴出,雙主力連買,154.0,1.99,4224,410,4224,8858,5,1,17474,-269,17474,147.9,145.8,136.94,是,是,否,是,否,否,均線多頭、MACD翻多,,,
2464,盟立,強勢噴出,雙主力連買,178.0,4.71,1406,62,1406,2874,5,1,4234,406,4234,158.4,148.9,156.59,否,否,否,否,否,是,爆量長紅,,,
9910,豐泰,強勢噴出,雙主力連買,69.7,3.41,468,55,468,991,3,3,288,103,288,,,,,,,,,,—,,,
8039,台虹,強勢噴出,雙主力連買,216.0,1.89,1456,211,1456,3123,2,3,2880,1090,2880,200.0,198.0,162.37,是,是,否,否,否,否,均線多頭,,,
8016,矽創,強勢噴出,雙主力連買,308.5,5.47,209,126,209,544,4,1,1097,-145,1097,284.7,292.27,299.85,否,否,否,是,否,否,MACD翻多,,,
9904,寶成,強勢噴出,雙主力連買,23.75,1.28,5286,133,5286,10705,1,3,-32546,139,-32546,23.84,24.17,25.22,否,否,是,否,否,否,KD黃金交叉,,,
8271,宇瞻,強勢噴出,雙主力連買,247.0,8.81,2922,117,2922,5961,3,1,6315,345,6315,228.1,204.05,212.38,否,是,是,否,是,是,KD黃金交叉、布林突破、爆量長紅,,,
1102,亞泥,強勢噴出,雙主力連買,32.95,1.07,2175,130,2175,4480,2,2,2422,-3667,2422,32.73,33.28,34.36,否,否,是,是,否,否,KD黃金交叉、MACD翻多,,,
2105,正新,強勢噴出,雙主力連買,31.0,1.64,1504,117,1504,3125,2,2,2539,-277,2539,30.54,31.61,31.94,否,否,否,否,否,否,—,,,
2347,聯強,強勢噴出,雙主力連買,94.7,2.6,1241,161,1241,2643,3,1,9895,160,9895,94.2,88.24,88.73,否,是,否,否,否,否,—,,,
2441,超豐,強勢噴出,雙主力連買,123.0,3.8,235,409,235,879,1,3,-3815,1413,-3815,,,,,,,,,,—,,,
2308,台達電,強勢噴出,雙主力連買,1680.0,1.82,73,489,73,635,3,1,-5670,585,-5670,,,,,,,,,,—,,,
3406,玉晶光,趨勢持續,雙主力連買,547.0,2.63,299,15,299,613,2,2,466,-197,466,510.2,525.27,604.34,否,否,否,否,否,否,—,,,
2207,和泰車,趨勢持續,雙主力連買,516.0,1.38,21,6,21,48,1,3,381,10,381,524.4,502.0,482.68,是,是,否,否,否,否,均線多頭,,,
2337,旺宏,強勢噴出,雙主力連買,129.0,9.79,13592,5080,13592,32264,1,2,-21766,14252,-21766,115.5,123.49,144.98,否,否,否,否,否,否,—,,,
2313,華通,強勢噴出,雙主力連買,220.5,1.15,5562,2020,5562,13144,2,1,12953,9917,12953,198.3,205.47,237.45,否,否,否,否,否,否,—,,,
2351,順德,趨勢持續,雙主力連買,171.5,1.48,27,118,27,172,1,2,-1505,773,-1505,161.6,167.95,187.84,否,否,否,否,否,否,—,,,
6691,洋基工程,趨勢持續,雙主力連買,722.0,3.44,33,92,33,158,2,1,-129,106,-129,,,,,,,,,,—,,,
3532,台勝科,趨勢持續,雙主力連買,316.0,0.16,104,5,104,213,2,1,95,-1865,95,,,,,,,,,,—,,,
6770,力積電,強勢噴出,雙主力連買,66.6,0.76,38628,48,38628,77304,1,1,-2756,-161,-2756,60.4,63.7,69.71,否,否,否,是,否,否,MACD翻多,,,
2455,全新,強勢噴出,雙主力連買,372.0,4.49,3230,406,3230,6866,1,1,-1127,775,-1127,345.2,317.6,360.57,否,是,否,否,否,是,爆量長紅,,,
2356,英業達,強勢噴出,雙主力連買,65.5,0.31,1752,545,1752,4049,1,1,20206,1129,20206,64.58,62.41,64.42,否,否,否,否,否,否,—,,,
4763,材料*-KY,強勢噴出,雙主力連買,49.65,2.48,1759,99,1759,3617,1,1,-256,154,-256,48.93,48.33,45.72,是,否,否,否,否,否,均線多頭,,,
6505,台塑化,強勢噴出,雙主力連買,67.1,0.75,1818,116,1818,3752,1,1,-7539,264,-7539,68.28,74.48,60.49,否,是,否,否,否,否,—,,,
2345,智邦,強勢噴出,雙主力連買,2410.0,1.05,465,18,465,948,1,1,290,206,290,,,,,,,,,,—,,,
6531,愛普*,強勢噴出,雙主力連買,900.0,5.26,205,46,205,456,1,1,-1536,15,-1536,792.2,815.8,945.18,否,否,否,否,否,否,—,,,
2474,可成,趨勢持續,雙主力連買,187.5,3.31,167,25,167,359,1,1,-1260,-64,-1260,183.1,187.35,199.18,否,否,是,是,否,否,KD黃金交叉、MACD翻多,,,
6515,穎崴,趨勢持續,雙主力連買,6775.0,1.65,4,1,4,9,1,1,-133,-69,-133,6460.0,6483.5,8184.0,否,否,否,否,否,否,—,,,
1216,統一,強勢噴出,外資連買,73.0,0.27,9684,-958,9684,18410,6,0,47510,-3936,47510,73.38,76.97,75.28,否,否,否,否,否,否,—,,,
2867,三商壽,強勢噴出,外資連買,9.77,0.0,5655,0,5655,11310,6,0,31288,0,31288,9.8,9.32,8.53,是,是,否,否,否,否,均線多頭,,,
2354,鴻準,強勢噴出,外資連買,61.0,9.91,2099,-6,2099,4192,6,0,8706,27,8706,57.08,55.86,57.55,否,是,否,否,是,是,布林突破、爆量長紅,,,
1907,永豐餘,強勢噴出,外資連買,30.35,2.02,1187,0,1187,2374,6,0,2849,667,2849,29.56,28.49,26.82,是,是,否,否,是,否,均線多頭、布林突破,,,
2618,長榮航,強勢噴出,外資連買,43.25,1.29,1673,-94,1673,3252,6,0,90382,-5188,90382,43.57,41.96,39.95,是,是,否,否,否,否,均線多頭,,,
2371,大同,強勢噴出,外資連買,25.45,0.2,1037,0,1037,2074,6,0,9202,-1033,9202,,,,,,,,,,—,,,
2891,中信金,強勢噴出,外資連買,64.6,2.22,1697,-502,1697,2892,6,0,55443,847,55443,,,,,,,,,,—,,,
1476,儒鴻,趨勢持續,外資連買,364.5,2.68,208,-13,208,403,6,0,1201,-8,1201,353.3,342.32,337.28,是,是,否,否,是,否,均線多頭、布林突破,,,
9958,世紀鋼,趨勢持續,外資連買,110.5,3.27,252,0,252,504,6,0,1449,-229,1449,106.6,110.75,110.98,否,否,否,否,否,否,—,,,
1522,堤維西,強勢噴出,外資連買,29.75,5.5,287,0,287,574,6,0,762,0,762,28.46,28.66,30.03,否,否,否,否,否,是,爆量長紅,,,
3056,富華新,低位啟動,外資連買,14.05,0.72,254,0,254,508,6,0,669,0,669,14.0,14.3,14.29,否,否,否,否,否,否,—,,,
2606,裕民,低位啟動,外資連買,64.4,0.16,244,-14,244,474,6,0,6569,-863,6569,63.58,62.94,64.46,否,是,否,否,否,否,—,,,
6235,華孚,低位啟動,外資連買,39.1,0.13,130,0,130,260,6,0,1038,0,1038,,,,,,,,,,—,,,
6768,志強-KY,低位啟動,外資連買,66.7,1.06,241,-151,241,331,6,0,1203,-395,1203,67.12,69.5,79.78,否,否,否,否,否,否,—,,,
6189,豐藝,低位啟動,外資連買,48.95,0.31,88,0,88,176,6,0,1253,-21,1253,48.1,48.17,50.7,否,否,否,否,否,否,—,,,
2108,南帝,低位啟動,外資連買,27.7,0.91,84,0,84,168,6,0,597,1,597,27.52,27.88,28.24,否,否,否,否,否,否,—,,,
2477,美隆電,低位啟動,外資連買,21.7,0.7,67,0,67,134,6,0,195,-4,195,21.7,21.37,21.59,否,否,否,否,否,否,—,,,
4771,望隼,趨勢持續,外資連買,197.5,2.6,55,0,55,110,6,0,262,0,262,189.2,193.8,194.61,否,否,否,是,否,否,MACD翻多,,,
1524,耿鼎,趨勢持續,外資連買,27.0,2.27,33,0,33,66,6,0,382,0,382,,,,,,,,,,—,,,
1776,展宇,低位啟動,外資連買,16.85,0.9,32,0,32,64,6,0,97,0,97,,,,,,,,,,—,,,
2432,倚天酷碁-創,低位啟動,外資連買,28.4,0.35,23,0,23,46,6,0,62,0,62,,,,,,,,,,—,,,
3018,隆銘綠能,趨勢持續,外資連買,14.5,3.2,31,0,31,62,6,0,123,0,123,,,,,,,,,,—,,,
6591,動力-KY,趨勢持續,外資連買,45.0,2.27,31,0,31,62,6,0,156,0,156,,,,,,,,,,—,,,
3027,盛達,低位啟動,外資連買,18.5,0.27,36,0,36,72,6,0,337,0,337,18.34,18.86,19.76,否,否,否,否,否,否,—,,,
6438,迅得,低位啟動,外資連買,147.0,0.0,25,0,25,50,6,0,374,0,374,142.0,144.28,154.74,否,否,否,否,否,否,—,,,
3030,德律,趨勢持續,外資連買,295.5,0.68,49,0,49,98,6,0,447,7,447,288.9,288.5,333.55,否,否,否,否,否,否,—,,,
5244,弘凱,趨勢持續,外資連買,33.6,4.84,20,0,20,40,6,0,211,0,211,31.72,31.82,35.76,否,否,否,否,否,是,爆量長紅,,,
1432,大魯閣,低位啟動,外資連買,15.15,0.33,20,0,20,40,6,0,152,0,152,15.08,15.08,15.96,否,否,否,否,否,否,—,,,
2008,高興昌,低位啟動,外資連買,30.85,0.98,13,0,13,26,6,0,40,0,40,30.9,30.68,29.87,是,是,否,否,否,否,均線多頭,,,
7721,微程式,低位啟動,外資連買,61.4,0.49,10,0,10,20,6,0,56,0,56,60.1,62.58,71.08,否,否,否,否,否,否,—,,,
5538,東明-KY,低位啟動,外資連買,34.2,0.44,10,0,10,20,6,0,42,0,42,34.05,34.16,33.78,否,是,否,否,否,否,—,,,
8467,波力-KY,低位啟動,外資連買,97.9,0.62,8,0,8,16,6,0,22,0,22,98.86,103.33,117.94,否,否,否,否,否,否,—,,,
8411,福貞-KY,低位啟動,外資連買,12.95,1.17,2,0,2,4,6,0,57,0,57,13.04,12.86,12.37,是,是,否,否,否,否,均線多頭,,,
6641,基士德-KY,低位啟動,外資連買,17.95,0.0,12,0,12,24,6,0,29,0,29,,,,,,,,,,—,,,
1786,科妍,低位啟動,外資連買,49.65,0.71,8,0,8,16,6,0,154,0,154,,,,,,,,,,—,,,
1752,南光,低位啟動,外資連買,31.9,1.11,2,0,2,4,6,0,31,0,31,31.72,31.68,32.41,否,否,否,否,否,否,—,,,
1583,程泰,低位啟動,外資連買,49.65,1.12,1,0,1,2,6,0,15,0,15,49.54,49.58,50.44,否,否,否,否,否,否,—,,,
3034,聯詠,趨勢持續,外資連買,543.0,1.31,69,-122,69,16,6,0,5671,-586,5671,,,,,,,,,,—,,,
2421,建準,強勢噴出,外資連買,154.5,9.96,5465,0,5465,10930,5,0,8431,4,8431,139.6,133.28,144.66,否,否,否,否,是,是,布林突破、爆量長紅,,,
8112,至上,強勢噴出,外資連買,89.0,3.25,3952,-45,3952,7859,5,0,21204,-683,21204,84.42,84.08,88.33,否,否,否,否,否,否,—,,,
2324,仁寶,強勢噴出,外資連買,37.3,0.95,2157,-42,2157,4272,5,0,59910,1656,59910,36.72,36.07,35.76,是,是,否,否,否,否,均線多頭,,,
2352,佳世達,強勢噴出,外資連買,28.8,1.23,682,0,682,1364,5,0,5395,37,5395,,,,,,,,,,—,,,
5388,中磊,強勢噴出,外資連買,91.8,0.22,561,0,561,1122,5,0,7067,-6,7067,,,,,,,,,,—,,,
4961,天鈺,強勢噴出,外資連買,167.5,5.68,446,0,446,892,5,0,1165,52,1165,,,,,,,,,,—,,,
2392,正崴,低位啟動,外資連買,37.4,1.08,285,0,285,570,5,0,3011,8,3011,35.46,35.52,37.51,否,否,否,否,否,否,—,,,
3413,京鼎,強勢噴出,外資連買,320.0,0.47,499,-218,499,780,5,0,2149,-188,2149,315.3,330.88,323.46,否,否,否,否,否,否,—,,,
8215,明基材,低位啟動,外資連買,24.2,1.47,152,0,152,304,5,0,484,13,484,,,,,,,,,,—,,,
2329,華泰,低位啟動,外資連買,44.6,0.68,85,0,85,170,5,0,2720,0,2720,,,,,,,,,,—,,,
6205,詮欣,低位啟動,外資連買,59.9,0.34,111,0,111,222,5,0,269,0,269,58.36,60.97,73.24,否,否,否,否,否,否,—,,,
2465,麗臺,低位啟動,外資連買,85.5,0.35,113,0,113,226,5,0,1741,0,1741,79.64,79.53,79.49,是,是,否,否,否,否,均線多頭,,,
6962,奕力-KY,低位啟動,外資連買,31.35,0.48,87,0,87,174,5,0,1166,20,1166,31.18,32.46,35.92,否,否,否,是,否,否,MACD翻多,,,
4746,台耀,低位啟動,外資連買,52.9,0.0,74,0,74,148,5,0,700,0,700,52.16,52.01,52.38,否,否,否,否,否,否,—,,,
2405,輔信,低位啟動,外資連買,16.15,0.94,60,0,60,120,5,0,1711,0,1711,16.05,16.38,17.28,否,否,否,否,否,否,—,,,
8464,億豐,趨勢持續,外資連買,382.0,1.73,59,0,59,118,5,0,317,-12,317,378.0,369.43,347.78,是,是,否,是,否,否,均線多頭、MACD翻多,,,
6695,芯鼎,趨勢持續,外資連買,50.1,2.04,53,0,53,106,5,0,318,0,318,50.6,52.14,54.85,否,否,否,否,否,否,—,,,
2419,仲琦,低位啟動,外資連買,24.55,1.03,34,0,34,68,5,0,1008,0,1008,,,,,,,,,,—,,,
6456,GIS-KY,低位啟動,外資連買,61.4,1.82,10,0,10,20,5,0,1091,0,1091,,,,,,,,,,—,,,
3416,融程電,趨勢持續,外資連買,186.5,0.81,28,0,28,56,5,0,880,0,880,177.7,174.4,175.8,否,否,否,否,否,否,—,,,
3545,敦泰,低位啟動,外資連買,50.8,0.59,21,0,21,42,5,0,1657,10,1657,50.05,50.1,54.94,否,否,否,否,否,否,—,,,
6224,聚鼎,低位啟動,外資連買,56.5,1.44,8,0,8,16,5,0,138,0,138,54.82,57.95,72.71,否,否,否,否,否,否,—,,,
6117,迎廣,低位啟動,外資連買,65.4,0.31,8,0,8,16,5,0,98,0,98,,,,,,,,,,—,,,
1441,大東,低位啟動,外資連買,9.0,1.24,6,0,6,12,5,0,14,0,14,,,,,,,,,,—,,,
1341,富林-KY,低位啟動,外資連買,59.3,0.17,5,0,5,10,5,0,10,0,10,,,,,,,,,,—,,,
1530,亞崴,低位啟動,外資連買,27.75,0.54,4,0,4,8,5,0,45,0,45,27.71,28.94,29.7,否,否,是,否,否,否,KD黃金交叉,,,
6754,匯僑設計,低位啟動,外資連買,42.7,1.67,1,0,1,2,5,0,15,0,15,42.13,42.23,43.81,否,否,是,否,否,否,KD黃金交叉,,,
1203,味王,低位啟動,外資連買,47.5,0.64,1,0,1,2,5,0,41,0,41,48.21,46.82,44.17,是,是,否,否,否,否,均線多頭,,,
1735,日勝化,低位啟動,外資連買,20.6,0.73,1,0,1,2,5,0,141,0,141,19.91,20.06,22.78,否,否,否,否,否,否,—,,,
1504,東元,低位啟動,外資連買,66.7,0.3,74,0,74,148,5,0,9164,16,9164,65.74,66.01,69.99,否,否,否,否,否,否,—,,,
3014,聯陽,低位啟動,外資連買,130.5,0.38,100,-287,100,-87,5,0,727,-201,727,,,,,,,,,,—,,,
2388,威盛,趨勢持續,外資連買,79.4,4.75,140,0,140,280,5,0,11390,100,11390,,,,,,,,,,—,,,
2027,大成鋼,強勢噴出,外資連買,46.1,3.95,14914,-119,14914,29709,4,0,27838,-8154,27838,44.47,42.55,41.88,是,是,否,否,否,是,均線多頭、爆量長紅,,,
2408,南亞科,強勢噴出,外資連買,459.0,3.15,9183,-251,9183,18115,4,0,51642,5211,51642,419.4,414.38,390.28,是,是,否,否,否,否,均線多頭,,,
3006,晶豪科,強勢噴出,外資連買,258.0,7.95,7835,0,7835,15670,4,0,20267,0,20267,218.5,209.75,223.63,否,是,否,否,是,是,布林突破、爆量長紅,,,
2362,藍天,強勢噴出,外資連買,51.1,8.38,4358,0,4358,8716,4,0,6026,0,6026,45.93,43.42,43.83,否,是,否,否,是,是,布林突破、爆量長紅,,,
9939,宏全,強勢噴出,外資連買,142.5,6.34,3241,0,3241,6482,4,0,3850,-218,3850,132.8,129.0,127.36,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
1313,聯成,強勢噴出,外資連買,11.6,5.45,2364,0,2364,4728,4,0,2212,0,2212,10.84,11.62,11.52,否,否,否,否,否,是,爆量長紅,,,
2376,技嘉,強勢噴出,外資連買,344.0,0.58,1907,-234,1907,3580,4,0,16031,-156,16031,335.8,336.82,339.6,否,是,否,是,否,否,MACD翻多,,,
3605,宏致,強勢噴出,外資連買,108.0,6.4,1405,0,1405,2810,4,0,5374,0,5374,93.06,87.93,81.81,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
6415,矽力*-KY,強勢噴出,外資連買,445.0,0.0,790,-6,790,1574,4,0,1617,-1235,1617,,,,,,,,,,—,,,
2009,第一銅,強勢噴出,外資連買,39.15,1.82,669,0,669,1338,4,0,2823,0,2823,,,,,,,,,,—,,,
2359,所羅門,強勢噴出,外資連買,144.5,0.35,758,0,758,1516,4,0,5393,0,5393,,,,,,,,,,—,,,
6153,嘉聯益,強勢噴出,外資連買,16.3,1.88,552,0,552,1104,4,0,518,0,518,,,,,,,,,,—,,,
2404,漢唐,強勢噴出,外資連買,1170.0,4.93,503,0,503,1006,4,0,518,-1120,518,,,,,,,,,,—,,,
6269,台郡,強勢噴出,外資連買,64.5,4.54,424,0,424,848,4,0,3004,3,3004,,,,,,,,,,—,,,
1904,正隆,強勢噴出,外資連買,22.3,4.94,567,0,567,1134,4,0,485,11,485,,,,,,,,,,—,,,
3673,TPK-KY,強勢噴出,外資連買,61.8,0.32,435,0,435,870,4,0,1122,0,1122,59.14,63.79,74.95,否,否,否,否,否,否,—,,,
6206,飛捷,強勢噴出,外資連買,144.5,2.48,757,-453,757,1061,4,0,4833,-452,4833,138.2,128.15,132.07,否,是,否,否,否,否,—,,,
6579,研揚,強勢噴出,外資連買,175.0,2.64,384,0,384,768,4,0,1092,4,1092,167.0,163.8,162.03,是,否,否,否,否,否,均線多頭,,,
1536,和大,低位啟動,外資連買,51.0,1.19,168,0,168,336,4,0,2241,0,2241,49.64,50.54,50.28,否,否,否,是,否,否,MACD翻多,,,
1563,巧新,趨勢持續,外資連買,57.6,2.13,227,0,227,454,4,0,1016,0,1016,56.1,59.91,60.02,否,否,否,否,否,否,—,,,
