代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
1402,遠東新,強勢噴出,雙主力連買,27.5,1.85,14004,120,14004,28128,6,3,38882,-3738,38882,27.05,27.21,27.35,否,否,是,否,否,否,KD黃金交叉,,,
1590,亞德客-KY,趨勢持續,雙主力連買,1545.0,0.98,68,30,68,166,5,4,333,100,333,1491.0,1389.75,1375.5,是,是,否,否,否,否,均線多頭,,,
9910,豐泰,低位啟動,雙主力連買,69.5,0.29,152,54,152,358,4,4,427,160,427,,,,,,,,,,—,,,
2618,長榮航,強勢噴出,雙主力連買,44.4,2.66,22000,127,22000,44127,6,1,72370,-5519,72370,43.79,42.2,40.12,是,是,否,否,否,否,均線多頭,,,
1717,長興,強勢噴出,雙主力連買,66.2,0.0,765,250,765,1780,1,6,6740,1313,6740,,,,,,,,,,—,,,
4938,和碩,強勢噴出,雙主力連買,87.1,1.04,178,714,178,1070,1,6,15065,1242,15065,,,,,,,,,,—,,,
2379,瑞昱,趨勢持續,雙主力連買,750.0,0.81,213,130,213,556,1,6,1624,411,1624,734.4,733.5,701.95,是,否,否,否,否,否,均線多頭,,,
5388,中磊,低位啟動,雙主力連買,91.4,0.44,45,1,45,91,6,1,6931,-5,6931,90.28,86.75,84.58,是,是,否,否,否,否,均線多頭,,,
3443,創意,趨勢持續,雙主力連買,4545.0,1.45,19,30,19,68,1,6,636,292,636,,,,,,,,,,—,,,
2027,大成鋼,強勢噴出,雙主力連買,46.6,1.08,1783,4865,1783,8431,5,1,31445,-3260,31445,45.15,42.88,42.02,是,是,否,否,否,否,均線多頭,,,
9904,寶成,強勢噴出,雙主力連買,23.9,0.63,2078,123,2078,4279,2,4,-32607,262,-32607,23.83,24.15,25.19,否,否,否,是,否,否,MACD翻多,,,
3006,晶豪科,強勢噴出,雙主力連買,256.5,0.59,1792,15,1792,3599,5,1,22287,15,22287,233.8,210.72,224.3,否,是,否,否,否,否,—,,,
2105,正新,強勢噴出,雙主力連買,31.4,1.29,1487,119,1487,3093,3,3,1185,-168,1185,30.73,31.56,31.94,否,否,否,否,否,否,—,,,
1102,亞泥,低位啟動,雙主力連買,32.85,0.31,195,121,195,511,3,3,-668,-3580,-668,32.7,33.14,34.32,否,否,否,否,否,否,—,,,
2301,光寶科,強勢噴出,雙主力連買,247.0,2.28,2128,20,2128,4276,1,4,59583,786,59583,246.0,216.8,218.47,否,是,否,否,否,否,—,,,
2542,興富發,強勢噴出,雙主力連買,44.3,0.45,119,509,119,747,1,4,-3398,1436,-3398,,,,,,,,,,—,,,
6805,富世達,強勢噴出,雙主力連買,1670.0,5.7,9,340,9,358,1,4,-1403,2104,-1403,1618.0,1429.75,1655.67,否,是,否,否,否,是,爆量長紅,,,
2609,陽明,低位啟動,雙主力連買,50.5,0.2,168,55,168,391,1,4,-6314,102,-6314,50.66,50.35,51.2,否,否,否,否,否,否,—,,,
2360,致茂,趨勢持續,雙主力連買,2030.0,2.78,144,170,144,458,4,1,2818,-4052,2818,,,,,,,,,,—,,,
4904,遠傳,強勢噴出,雙主力連買,103.0,0.98,944,763,944,2651,1,3,7316,269,7316,102.1,102.5,102.09,否,是,否,否,否,否,—,,,
3450,聯鈞,強勢噴出,雙主力連買,477.0,3.14,1266,340,1266,2872,3,1,3931,-1972,3931,456.9,438.07,479.43,否,否,否,否,否,否,—,,,
0056,元大高股息,強勢噴出,雙主力連買,51.05,0.49,679,230,679,1588,1,3,35403,1260,35403,50.84,50.34,50.44,否,否,否,否,否,否,—,,,
9941,裕融,強勢噴出,雙主力連買,84.3,2.93,1323,100,1323,2746,1,3,767,393,767,82.3,82.25,80.12,是,是,否,是,是,否,均線多頭、MACD翻多、布林突破,,,
2387,精元,低位啟動,雙主力連買,38.4,1.19,168,2,168,338,3,1,201,-16,201,,,,,,,,,,—,,,
6531,愛普*,強勢噴出,雙主力連買,951.0,5.67,26,28,26,80,2,2,-462,312,-462,849.0,817.25,943.7,否,否,否,否,否,否,—,,,
2603,長榮,強勢噴出,雙主力連買,207.5,1.72,2472,1183,2472,6127,2,1,5792,554,5792,206.0,202.07,205.18,否,是,否,否,否,否,—,,,
3045,台灣大,強勢噴出,雙主力連買,111.5,0.9,1724,105,1724,3553,1,2,-1807,-1727,-1807,111.1,111.7,114.53,否,否,否,否,否,否,—,,,
2412,中華電,強勢噴出,雙主力連買,137.5,0.36,1407,369,1407,3183,1,2,757,-569,757,137.4,137.8,139.85,否,否,否,否,否,否,—,,,
2884,玉山金,強勢噴出,雙主力連買,38.15,0.53,267,1166,267,1700,1,2,-11321,1016,-11321,,,,,,,,,,—,,,
3022,威強電,強勢噴出,雙主力連買,103.0,2.49,1184,1,1184,2369,1,2,2563,338,2563,,,,,,,,,,—,,,
2395,研華,強勢噴出,雙主力連買,634.0,1.93,697,2,697,1396,2,1,2969,-1016,2969,,,,,,,,,,—,,,
5876,上海商銀,強勢噴出,雙主力連買,43.45,0.0,331,320,331,982,2,1,6511,-3629,6511,,,,,,,,,,—,,,
2323,中環,低位啟動,雙主力連買,10.25,0.99,118,45,118,281,2,1,2993,45,2993,,,,,,,,,,—,,,
5288,豐祥-KY,趨勢持續,雙主力連買,192.5,2.12,145,15,145,305,2,1,-30,154,-30,,,,,,,,,,—,,,
1210,大成,低位啟動,雙主力連買,52.7,0.0,55,200,55,310,1,2,-5638,1150,-5638,54.88,56.85,55.32,否,否,否,否,否,否,—,,,
2887,台新新光金,強勢噴出,雙主力連買,35.15,1.88,14196,55,14196,28447,1,1,19084,-4283,19084,35.24,34.95,30.99,是,否,否,否,否,否,均線多頭,,,
2610,華航,強勢噴出,雙主力連買,22.5,1.58,6171,6997,6171,19339,1,1,35913,6150,35913,22.43,21.5,20.89,是,是,否,否,否,否,均線多頭,,,
2885,元大金,強勢噴出,雙主力連買,67.7,0.89,2635,351,2635,5621,1,1,-503,9133,-503,68.24,65.51,63.7,是,否,否,否,否,否,均線多頭,,,
2890,永豐金,強勢噴出,雙主力連買,38.95,0.65,2427,33,2427,4887,1,1,21783,-3133,21783,39.37,39.49,36.36,否,否,否,否,否,否,—,,,
