代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2912,統一超,強勢噴出,雙主力連買,242.0,1.04,745,187,745,1677,5,5,2783,278,2783,,,,,,,,,,—,,,
2207,和泰車,趨勢持續,雙主力連買,480.0,1.05,56,22,56,134,5,5,156,138,156,476.6,474.3,478.0,否,否,否,否,否,否,—,,,
2884,玉山金,強勢噴出,雙主力連買,34.5,0.29,2306,2188,2306,6800,5,4,43619,49,43619,34.62,34.71,33.08,否,是,否,否,否,否,—,,,
3189,景碩,趨勢持續,雙主力連買,805.0,1.77,286,2,286,574,5,4,3289,308,3289,772.2,773.95,640.77,否,是,是,否,否,否,KD黃金交叉,,,
2006,東和鋼鐵,強勢噴出,雙主力連買,70.2,0.0,1221,37,1221,2479,3,5,2127,946,2127,,,,,,,,,,—,,,
5522,遠雄,強勢噴出,雙主力連買,67.5,2.12,292,486,292,1070,3,5,527,703,527,,,,,,,,,,—,,,
9914,美利達,低位啟動,雙主力連買,76.1,0.93,280,14,280,574,3,5,-255,47,-255,74.7,74.55,67.56,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
2891,中信金,強勢噴出,雙主力連買,65.0,2.36,18799,3086,18799,40684,2,5,19445,19201,19445,68.58,70.21,62.12,否,是,否,否,否,否,—,,,
3034,聯詠,強勢噴出,雙主力連買,468.0,0.11,5435,364,5435,11234,2,5,7859,2335,7859,510.5,525.77,483.71,否,是,否,否,否,否,—,,,
5880,合庫金,強勢噴出,雙主力連買,25.2,0.0,2992,449,2992,6433,5,2,41926,693,41926,25.11,24.78,23.66,是,是,否,否,否,否,均線多頭,,,
2347,聯強,強勢噴出,雙主力連買,83.1,0.73,2138,626,2138,4902,2,5,-4227,5168,-4227,86.9,91.28,87.14,否,否,否,否,否,否,—,,,
2478,大毅,強勢噴出,雙主力連買,157.5,3.96,1374,12,1374,2760,2,5,5724,40,5724,,,,,,,,,,—,,,
2646,星宇航空,強勢噴出,雙主力連買,21.15,0.24,1008,78,1008,2094,2,5,2533,256,2533,,,,,,,,,,—,,,
4919,新唐,強勢噴出,雙主力連買,159.5,2.57,649,30,649,1328,2,5,692,110,692,161.6,177.93,172.86,否,否,否,否,否,否,—,,,
5269,祥碩,強勢噴出,雙主力連買,1525.0,0.99,311,42,311,664,2,5,584,462,584,,,,,,,,,,—,,,
9939,宏全,低位啟動,雙主力連買,125.0,0.81,280,9,280,569,2,5,1854,26,1854,,,,,,,,,,—,,,
6669,緯穎,趨勢持續,雙主力連買,4905.0,1.13,23,25,23,71,2,5,-423,1263,-423,4994.0,4883.5,4989.58,否,否,否,否,否,否,—,,,
1402,遠東新,強勢噴出,雙主力連買,26.35,0.0,22684,605,22684,45973,1,5,-28957,18349,-28957,27.37,28.3,26.99,否,否,否,否,否,否,—,,,
5876,上海商銀,強勢噴出,雙主力連買,44.7,1.25,4260,1763,4260,10283,5,1,21631,3091,21631,43.32,42.5,40.82,是,是,否,否,是,否,均線多頭、布林突破,,,
2633,台灣高鐵,強勢噴出,雙主力連買,25.5,0.0,4055,2040,4055,10150,1,5,-2168,4101,-2168,26.33,26.24,26.05,是,是,否,否,否,否,均線多頭,,,
6213,聯茂,強勢噴出,雙主力連買,348.5,3.26,3988,70,3988,8046,1,5,-4127,1719,-4127,373.1,337.07,291.37,是,是,否,否,否,否,均線多頭,,,
2105,正新,強勢噴出,雙主力連買,32.65,0.62,1723,294,1723,3740,5,1,14642,398,14642,32.51,31.2,32.08,否,否,否,否,否,否,—,,,
2542,興富發,強勢噴出,雙主力連買,43.4,0.35,311,1183,311,1805,1,5,-1096,2959,-1096,43.55,43.67,42.04,否,否,否,否,否,否,—,,,
5871,中租-KY,強勢噴出,雙主力連買,118.0,1.29,680,147,680,1507,2,4,-1227,-213,-1227,,,,,,,,,,—,,,
2357,華碩,強勢噴出,雙主力連買,703.0,0.14,963,106,963,2032,5,1,10854,-659,10854,,,,,,,,,,—,,,
1907,永豐餘,強勢噴出,雙主力連買,27.65,2.22,1147,70,1147,2364,1,5,-270,137,-270,,,,,,,,,,—,,,
2385,群光,強勢噴出,雙主力連買,104.5,1.46,337,61,337,735,5,1,5637,-539,5637,106.4,108.58,123.92,否,否,否,否,否,否,—,,,
2501,國建,強勢噴出,雙主力連買,21.6,0.0,1176,50,1176,2402,1,5,-5756,158,-5756,23.41,24.59,23.84,否,否,否,否,否,否,—,,,
2458,義隆,強勢噴出,雙主力連買,179.5,1.99,96,393,96,585,1,5,3559,3680,3559,184.0,175.6,158.03,是,是,否,否,否,否,均線多頭,,,
8016,矽創,強勢噴出,雙主力連買,309.5,5.99,459,85,459,1003,1,5,3317,368,3317,340.7,321.27,286.44,是,是,否,否,否,否,均線多頭,,,
2851,中再保,低位啟動,雙主力連買,37.65,1.07,198,81,198,477,1,5,-559,682,-559,,,,,,,,,,—,,,
8021,尖點,趨勢持續,雙主力連買,487.5,4.39,137,10,137,284,5,1,1147,10,1147,,,,,,,,,,—,,,
8464,億豐,趨勢持續,雙主力連買,364.0,1.11,220,3,220,443,2,4,82,102,82,364.2,356.82,342.59,是,是,否,否,否,否,均線多頭,,,
2383,台光電,趨勢持續,雙主力連買,4970.0,3.22,96,43,96,235,1,5,-333,386,-333,5185.0,5422.0,4962.5,否,是,否,否,否,否,—,,,
6890,來億-KY,趨勢持續,雙主力連買,178.0,2.01,169,12,169,350,2,4,256,103,256,196.2,215.35,193.51,否,否,否,否,否,否,—,,,
9958,世紀鋼,低位啟動,雙主力連買,116.5,0.0,33,9,33,75,1,5,-407,33,-407,117.2,116.28,109.37,是,是,否,否,否,否,均線多頭,,,
3045,台灣大,強勢噴出,雙主力連買,109.0,0.46,7364,667,7364,15395,3,2,25201,6607,25201,111.3,116.75,114.38,否,否,否,否,否,否,—,,,
4904,遠傳,強勢噴出,雙主力連買,95.1,1.06,1307,783,1307,3397,3,2,-1834,12797,-1834,96.48,104.3,99.86,否,否,否,否,否,否,—,,,
3005,神基,強勢噴出,雙主力連買,114.5,0.44,836,81,836,1753,1,4,4157,-189,4157,,,,,,,,,,—,,,
6239,力成,強勢噴出,雙主力連買,304.0,2.88,769,159,769,1697,1,4,-482,-1389,-482,315.6,332.4,289.95,否,否,否,否,否,否,—,,,
6285,啟碁,趨勢持續,雙主力連買,247.5,4.87,286,13,286,585,4,1,2563,-2479,2563,,,,,,,,,,—,,,
3406,玉晶光,趨勢持續,雙主力連買,587.0,3.89,218,2,218,438,1,4,-175,249,-175,606.6,678.85,605.88,否,否,是,否,否,否,KD黃金交叉,,,
3167,大量,強勢噴出,雙主力連買,870.0,5.33,92,23,92,207,2,3,-787,351,-787,,,,,,,,,,—,,,
2707,晶華,趨勢持續,雙主力連買,180.0,0.28,63,1,63,127,4,1,133,1,133,179.9,179.47,176.06,是,是,否,否,否,否,均線多頭,,,
1326,台化,強勢噴出,雙主力連買,67.0,3.08,13945,42,13945,27932,2,2,-27025,48,-27025,64.0,58.78,52.18,是,是,否,否,否,否,均線多頭,,,
2883,凱基金,強勢噴出,雙主力連買,29.5,1.03,2989,2357,2989,8335,2,2,40237,-560,40237,30.03,29.61,25.1,是,是,否,否,否,否,均線多頭,,,
2892,第一金,強勢噴出,雙主力連買,33.55,0.3,1189,506,1189,2884,2,2,37698,8513,37698,33.64,32.76,30.1,是,是,否,否,否,否,均線多頭,,,
5388,中磊,強勢噴出,雙主力連買,85.7,0.35,379,372,379,1130,3,1,4089,277,4089,84.44,82.23,82.81,否,否,否,否,否,否,—,,,
8210,勤誠,趨勢持續,雙主力連買,1110.0,2.3,238,6,238,482,3,1,371,-770,371,1158.0,1275.0,1305.58,否,否,否,否,否,否,—,,,
6196,帆宣,趨勢持續,雙主力連買,539.0,2.28,127,6,127,260,3,1,1427,-959,1427,549.4,555.25,478.02,否,是,否,否,否,否,—,,,
1590,亞德客-KY,趨勢持續,雙主力連買,1290.0,2.38,63,27,63,153,3,1,457,64,457,1323.0,1355.25,1381.17,否,是,否,否,否,否,—,,,
2723,美食-KY,低位啟動,雙主力連買,65.0,0.31,33,1,33,67,3,1,52,1,52,,,,,,,,,,—,,,
3231,緯創,強勢噴出,雙主力連買,142.5,0.71,2463,385,2463,5311,1,2,-13782,3376,-13782,146.5,155.78,151.13,否,否,否,否,否,否,—,,,
4938,和碩,低位啟動,雙主力連買,82.1,0.61,151,51,151,353,2,1,3365,-2039,3365,,,,,,,,,,—,,,
6446,藥華藥,強勢噴出,雙主力連買,1200.0,4.35,763,30,763,1556,1,2,-1559,149,-1559,1352.0,1233.9,933.63,是,是,否,否,否,否,均線多頭,,,
6525,捷敏-KY,強勢噴出,雙主力連買,181.5,6.45,768,1,768,1537,2,1,1764,-3,1764,198.7,165.62,128.04,是,是,否,否,否,否,均線多頭,,,
2489,瑞軒,強勢噴出,雙主力連買,36.0,6.67,904,10,904,1818,2,1,121,9,121,38.07,43.12,43.91,否,否,否,否,否,否,—,,,
6177,達麗,強勢噴出,雙主力連買,46.0,0.22,332,187,332,851,2,1,1132,172,1132,45.59,46.19,45.43,否,否,否,否,否,否,—,,,
1476,儒鴻,強勢噴出,雙主力連買,343.5,0.73,493,16,493,1002,2,1,2339,369,2339,339.2,326.5,336.3,否,否,否,否,否,否,—,,,
2049,上銀,強勢噴出,雙主力連買,317.0,4.97,461,61,461,983,2,1,507,90,507,,,,,,,,,,—,,,
6805,富世達,強勢噴出,雙主力連買,1320.0,7.32,190,10,190,390,1,2,2123,-1742,2123,1415.0,1633.0,1815.42,否,否,否,否,否,否,—,,,
3532,台勝科,強勢噴出,雙主力連買,510.0,0.0,308,2503,308,3119,1,1,-145,4898,-145,438.3,395.15,295.85,是,是,否,否,是,否,均線多頭、布林突破,,,
6278,台表科,強勢噴出,雙主力連買,172.5,4.86,2303,12,2303,4618,1,1,-5732,2637,-5732,189.5,201.72,198.24,否,否,否,否,否,否,—,,,
2316,楠梓電,強勢噴出,雙主力連買,184.0,0.82,1446,13,1446,2905,1,1,-603,13,-603,,,,,,,,,,—,,,
2615,萬海,強勢噴出,雙主力連買,79.4,0.25,1443,13,1443,2899,1,1,4517,160,4517,,,,,,,,,,—,,,
4764,雙鍵,強勢噴出,雙主力連買,331.5,9.59,320,859,320,1499,1,1,-1011,1843,-1011,,,,,,,,,,—,,,
3583,辛耘,趨勢持續,雙主力連買,766.0,3.79,47,6,47,100,1,1,110,-8,110,794.0,845.0,841.75,否,否,否,否,否,否,—,,,
3028,增你強,低位啟動,雙主力連買,70.0,1.74,34,7,34,75,1,1,-1701,7,-1701,,,,,,,,,,—,,,
2454,聯發科,趨勢持續,雙主力連買,3660.0,4.72,224,158,224,606,1,1,-2097,236,-2097,,,,,,,,,,—,,,
2618,長榮航,強勢噴出,外資連買,40.8,0.12,45290,-2290,45290,88290,5,0,213982,-12937,213982,40.68,42.45,37.76,否,是,否,否,否,否,—,,,
6505,台塑化,強勢噴出,外資連買,66.2,4.91,11284,-7,11284,22561,5,0,26979,879,26979,61.1,56.41,53.96,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
2867,三商壽,強勢噴出,外資連買,8.83,0.0,5690,0,5690,11380,5,0,26155,0,26155,8.82,8.6,8.07,是,是,否,否,否,否,均線多頭,,,
1718,中纖,強勢噴出,外資連買,13.9,3.35,2291,0,2291,4582,5,0,17822,0,17822,14.33,12.06,8.8,是,是,否,否,否,否,均線多頭,,,
6919,康霈*,強勢噴出,外資連買,107.5,0.0,1331,-4,1331,2658,5,0,5394,-4,5394,,,,,,,,,,—,,,
2368,金像電,強勢噴出,外資連買,1015.0,3.05,1559,-367,1559,2751,5,0,5317,-3893,5317,,,,,,,,,,—,,,
6531,愛普*,強勢噴出,外資連買,858.0,4.25,889,-10,889,1768,5,0,1971,-512,1971,898.8,973.65,955.55,否,否,否,否,否,否,—,,,
6226,光鼎,強勢噴出,外資連買,25.85,0.78,462,0,462,924,5,0,1537,0,1537,25.39,19.62,15.16,是,是,否,否,否,否,均線多頭,,,
8462,柏文,強勢噴出,外資連買,167.0,4.38,538,0,538,1076,5,0,772,0,772,159.4,146.25,143.98,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
6861,睿生光電,強勢噴出,外資連買,237.0,12.32,363,0,363,726,5,0,944,0,944,,,,,,,,,,—,,,
6414,樺漢,強勢噴出,外資連買,377.5,3.0,484,0,484,968,5,0,2862,-7,2862,,,,,,,,,,—,,,
6491,晶碩,趨勢持續,外資連買,357.5,2.29,224,0,224,448,5,0,1052,0,1052,370.2,342.35,315.02,是,是,否,否,否,否,均線多頭,,,
8454,富邦媒,趨勢持續,外資連買,262.5,0.19,203,-9,203,397,5,0,817,-89,817,267.0,302.12,251.91,否,否,是,否,否,否,KD黃金交叉,,,
3653,健策,趨勢持續,外資連買,3070.0,4.24,231,-22,231,440,5,0,706,-145,706,3173.0,3496.0,3906.5,否,否,否,否,否,否,—,,,
1460,宏遠,低位啟動,外資連買,7.0,1.45,182,0,182,364,5,0,932,0,932,7.27,7.33,7.13,否,是,否,否,否,否,—,,,
4104,佳醫,低位啟動,外資連買,71.3,0.85,149,0,149,298,5,0,538,0,538,70.12,69.4,70.7,否,是,否,否,是,否,布林突破,,,
2023,燁輝,低位啟動,外資連買,14.1,0.71,134,-7,134,261,5,0,3287,-10,3287,13.97,13.78,13.85,否,是,否,否,否,否,—,,,
2908,特力,低位啟動,外資連買,21.8,0.0,136,0,136,272,5,0,506,0,506,,,,,,,,,,—,,,
2106,建大,低位啟動,外資連買,17.5,0.0,103,-4,103,202,5,0,694,-6,694,,,,,,,,,,—,,,
2528,皇普,低位啟動,外資連買,21.75,1.64,117,0,117,234,5,0,557,-11,557,,,,,,,,,,—,,,
6965,中傑-KY,低位啟動,外資連買,78.5,1.95,58,0,58,116,5,0,88,0,88,,,,,,,,,,—,,,
2597,潤弘,趨勢持續,外資連買,163.5,3.15,26,-1,26,51,5,0,139,-6,139,,,,,,,,,,—,,,
7631,聚賢研發-創,趨勢持續,外資連買,148.0,2.07,42,0,42,84,5,0,86,0,86,,,,,,,,,,—,,,
7786,東方風能,趨勢持續,外資連買,131.0,2.34,36,0,36,72,5,0,362,0,362,,,,,,,,,,—,,,
6957,裕慶-KY,強勢噴出,外資連買,230.0,8.75,22,0,22,44,5,0,64,0,64,213.4,197.1,177.39,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
1459,聯發,低位啟動,外資連買,11.6,0.87,28,0,28,56,5,0,165,0,165,11.75,11.77,11.76,否,否,否,否,否,否,—,,,
1220,台榮,低位啟動,外資連買,11.45,0.0,12,0,12,24,5,0,58,0,58,11.58,11.64,11.94,否,否,否,否,否,否,—,,,
5222,全訊,低位啟動,外資連買,126.0,0.0,17,0,17,34,5,0,162,-1,162,124.7,121.38,126.22,否,是,否,否,否,否,—,,,
1783,和康生,低位啟動,外資連買,39.75,0.63,14,0,14,28,5,0,69,0,69,40.29,39.27,39.23,是,是,否,否,否,否,均線多頭,,,
1903,士紙,低位啟動,外資連買,47.95,1.91,17,0,17,34,5,0,92,0,92,48.76,48.0,48.61,否,是,否,否,否,否,—,,,
1468,昶和,強勢噴出,外資連買,13.35,9.88,9,0,9,18,5,0,18,0,18,,,,,,,,,,—,,,
1454,台富,低位啟動,外資連買,12.7,0.4,8,0,8,16,5,0,25,0,25,,,,,,,,,,—,,,
8467,波力-KY,趨勢持續,外資連買,106.0,3.92,2,0,2,4,5,0,12,0,12,111.3,118.08,130.53,否,否,否,否,否,否,—,,,
2603,長榮,強勢噴出,外資連買,194.5,0.26,1174,-318,1174,2030,4,0,8645,-1300,8645,193.6,193.22,205.86,否,否,否,否,否,否,—,,,
3048,益登,強勢噴出,外資連買,55.6,3.35,1643,0,1643,3286,4,0,1971,0,1971,58.6,65.4,58.86,否,否,否,否,否,否,—,,,
4927,泰鼎-KY,強勢噴出,外資連買,40.1,1.39,1169,0,1169,2338,4,0,-900,0,-900,,,,,,,,,,—,,,
4551,智伸科,強勢噴出,外資連買,208.0,2.97,482,0,482,964,4,0,2139,-582,2139,230.3,229.3,172.9,是,是,否,否,否,否,均線多頭,,,
3059,華晶科,強勢噴出,外資連買,44.65,3.0,547,0,547,1094,4,0,341,-1,341,,,,,,,,,,—,,,
2360,致茂,強勢噴出,外資連買,1820.0,1.68,462,-282,462,642,4,0,2593,-1743,2593,1862.0,2128.0,2231.33,否,否,否,否,否,否,—,,,
6830,汎銓,強勢噴出,外資連買,379.0,4.26,565,-315,565,815,4,0,997,-315,997,404.9,482.98,650.75,否,否,是,否,否,是,KD黃金交叉、爆量長紅,,,
2434,統懋,強勢噴出,外資連買,75.1,9.96,152,0,152,304,4,0,445,0,445,,,,,,,,,,—,,,
6768,志強-KY,低位啟動,外資連買,70.2,1.15,119,0,119,238,4,0,156,-4,156,,,,,,,,,,—,,,
1234,黑松,低位啟動,外資連買,33.45,0.45,103,0,103,206,4,0,230,0,230,,,,,,,,,,—,,,
3052,夆典,低位啟動,外資連買,10.85,0.0,66,0,66,132,4,0,75,0,75,10.88,10.8,10.73,是,是,否,否,否,否,均線多頭,,,
9925,新保,低位啟動,外資連買,41.05,0.61,61,0,61,122,4,0,696,0,696,41.03,40.74,40.49,是,是,否,否,否,否,均線多頭,,,
2102,泰豐,趨勢持續,外資連買,18.7,2.47,58,0,58,116,4,0,-177,0,-177,18.96,18.43,18.45,否,是,否,否,否,否,—,,,
6464,台數科,低位啟動,外資連買,78.0,0.0,32,0,32,64,4,0,104,0,104,77.92,77.77,77.35,是,否,否,否,否,否,均線多頭,,,
2704,國賓,低位啟動,外資連買,45.55,0.11,30,0,30,60,4,0,28,0,28,45.23,44.97,43.24,是,是,否,否,否,否,均線多頭,,,
