代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2891,中信金,強勢噴出,雙主力連買,68.4,1.33,5083,2060,5083,12226,6,6,14925,21699,14925,66.74,65.61,66.61,否,是,否,否,是,否,布林突破,,,
3045,台灣大,強勢噴出,雙主力連買,118.0,0.0,2166,375,2166,4707,6,5,18086,2804,18086,116.7,113.6,114.35,否,是,否,否,否,否,—,,,
3231,緯創,強勢噴出,雙主力連買,198.0,5.04,23925,3435,23925,51285,4,6,30389,26916,30389,186.4,184.95,169.38,是,否,否,是,否,是,均線多頭、MACD翻多、爆量長紅,,,
2377,微星,強勢噴出,雙主力連買,161.5,7.31,10951,1518,10951,23420,6,3,22976,1761,22976,155.2,151.53,145.47,是,是,否,否,否,是,均線多頭、爆量長紅,,,
2884,玉山金,強勢噴出,雙主力連買,43.55,0.81,8186,5238,8186,21610,3,6,27415,17231,27415,41.38,38.77,36.65,是,是,否,否,是,否,均線多頭、布林突破,,,
9910,豐泰,強勢噴出,雙主力連買,68.9,1.77,527,51,527,1105,4,5,415,237,415,68.12,69.34,70.26,否,否,是,否,否,否,KD黃金交叉,,,
2382,廣達,強勢噴出,雙主力連買,345.0,2.99,12836,242,12836,25914,2,6,20601,4679,20601,339.5,329.82,341.57,否,是,否,否,否,否,—,,,
2885,元大金,強勢噴出,雙主力連買,69.8,1.9,7943,1036,7943,16922,6,2,41986,-1642,41986,67.42,65.87,66.05,否,否,否,否,否,否,—,,,
2313,華通,強勢噴出,雙主力連買,249.5,5.72,3876,786,3876,8538,2,6,6299,7893,6299,247.0,224.78,223.13,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
2882,國泰金,強勢噴出,雙主力連買,115.0,2.22,2098,2,2098,4198,2,6,3017,14014,3017,111.6,103.28,101.22,是,是,否,否,是,否,均線多頭、布林突破,,,
2610,華航,強勢噴出,雙主力連買,20.45,0.49,390,257,390,1037,3,5,10405,4668,10405,20.41,20.33,21.34,否,否,否,否,否,否,—,,,
