代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2887,台新新光金,強勢噴出,雙主力連買,37.75,4.28,17660,25041,17660,60361,3,6,39628,53366,39628,36.21,35.05,32.04,是,是,否,是,是,是,均線多頭、MACD翻多、布林突破、爆量長紅,,,
2886,兆豐金,強勢噴出,雙主力連買,47.35,3.27,11358,15554,11358,38270,2,6,-2316,26167,-2316,48.46,49.6,45.85,否,是,否,否,否,否,—,,,
2603,長榮,強勢噴出,雙主力連買,219.0,1.62,7906,7,7906,15819,2,6,22431,2711,22431,216.2,206.78,206.21,是,是,否,否,是,否,均線多頭、布林突破,,,
9904,寶成,強勢噴出,雙主力連買,25.25,5.65,21199,119,21199,42517,1,6,17640,703,17640,24.25,24.12,25.04,否,否,否,否,是,是,布林突破、爆量長紅,,,
2382,廣達,強勢噴出,雙主力連買,327.5,0.77,6634,147,6634,13415,1,6,3678,2431,3678,321.4,312.82,347.3,否,否,否,否,否,否,—,,,
1319,東陽,強勢噴出,雙主力連買,83.9,5.93,5437,108,5437,10982,6,1,9766,-78,9766,79.74,74.44,82.06,否,是,否,否,是,是,布林突破、爆量長紅,,,
2312,金寶,強勢噴出,雙主力連買,33.75,1.81,1699,4,1699,3402,5,2,14361,-2,14361,33.15,31.71,34.45,否,是,否,否,否,否,—,,,
2609,陽明,強勢噴出,雙主力連買,51.6,0.39,1716,19,1716,3451,1,6,16473,244,16473,,,,,,,,,,—,,,
2347,聯強,強勢噴出,雙主力連買,90.9,0.66,539,233,539,1311,1,6,2429,967,2429,91.38,90.07,89.62,是,是,否,否,否,否,均線多頭,,,
1216,統一,強勢噴出,雙主力連買,75.8,0.66,856,87,856,1799,6,1,23507,-22,23507,75.96,76.09,75.39,否,否,否,否,否,否,—,,,
3059,華晶科,強勢噴出,雙主力連買,40.8,0.12,318,2,318,638,6,1,2157,2,2157,40.7,39.81,44.47,否,否,否,否,否,否,—,,,
9910,豐泰,低位啟動,雙主力連買,69.4,1.31,199,53,199,451,1,6,2079,308,2079,,,,,,,,,,—,,,
6805,富世達,趨勢持續,雙主力連買,1805.0,1.4,122,75,122,319,1,6,-1936,2530,-1936,,,,,,,,,,—,,,
2385,群光,強勢噴出,雙主力連買,107.5,1.42,1020,19,1020,2059,5,1,6353,-1799,6353,,,,,,,,,,—,,,
2360,致茂,趨勢持續,雙主力連買,2300.0,0.0,156,10,156,322,2,4,289,448,289,,,,,,,,,,—,,,
1503,士電,趨勢持續,雙主力連買,198.5,1.53,136,2,136,274,5,1,660,2,660,198.3,198.1,216.63,否,否,否,否,否,否,—,,,
3017,奇鋐,強勢噴出,雙主力連買,3235.0,1.09,1107,784,1107,2998,3,2,2804,1550,2804,2974.0,2559.0,2511.42,是,是,否,否,是,否,均線多頭、布林突破,,,
6415,矽力*-KY,強勢噴出,雙主力連買,480.0,3.23,680,3,680,1363,4,1,2080,-1600,2080,,,,,,,,,,—,,,
6669,緯穎,強勢噴出,雙主力連買,6435.0,6.01,23,449,23,495,4,1,195,-418,195,6094.0,5700.5,5282.5,是,是,否,否,否,是,均線多頭、爆量長紅,,,
3443,創意,趨勢持續,雙主力連買,5465.0,1.39,207,6,207,420,1,4,208,291,208,,,,,,,,,,—,,,
3706,神達,強勢噴出,雙主力連買,92.7,1.09,9690,1,9690,19381,3,1,19393,-104,19393,91.94,90.37,89.14,是,是,否,否,否,否,均線多頭,,,
4958,臻鼎-KY,強勢噴出,雙主力連買,489.5,2.51,6383,648,6383,13414,2,2,-11316,-2812,-11316,479.8,466.7,531.63,否,否,否,否,否,否,—,,,
2201,裕隆,強勢噴出,雙主力連買,28.65,0.17,873,3,873,1749,1,3,2885,36,2885,,,,,,,,,,—,,,
6446,藥華藥,強勢噴出,雙主力連買,1500.0,3.81,448,12,448,908,1,3,2706,315,2706,1435.0,1235.5,1143.02,是,是,否,否,否,否,均線多頭,,,
8464,億豐,趨勢持續,雙主力連買,377.0,2.45,45,10,45,100,1,3,-99,84,-99,382.6,376.05,354.02,是,是,否,否,否,否,均線多頭,,,
2495,普安,低位啟動,雙主力連買,39.5,0.51,36,1,36,73,3,1,1435,1,1435,,,,,,,,,,—,,,
2344,華邦電,強勢噴出,雙主力連買,183.5,3.67,55890,3770,55890,115550,2,1,94554,-36719,94554,179.0,158.7,169.61,否,是,否,否,否,否,—,,,
2891,中信金,強勢噴出,雙主力連買,65.8,1.08,1792,224,1792,3808,1,2,8224,2070,8224,,,,,,,,,,—,,,
1810,和成,強勢噴出,雙主力連買,27.55,9.98,892,14,892,1798,2,1,444,-4,444,,,,,,,,,,—,,,
6278,台表科,強勢噴出,雙主力連買,173.0,2.98,2477,193,2477,5147,1,1,1381,-212,1381,170.2,158.03,189.89,否,否,否,否,否,否,—,,,
1560,中砂,強勢噴出,雙主力連買,725.0,2.55,569,211,569,1349,1,1,1033,232,1033,,,,,,,,,,—,,,
2383,台光電,強勢噴出,雙主力連買,6165.0,8.35,595,103,595,1293,1,1,1111,384,1111,,,,,,,,,,—,,,
1608,華榮,強勢噴出,雙主力連買,37.0,0.54,569,8,569,1146,1,1,12642,-9,12642,36.79,32.38,33.66,否,是,否,否,否,否,—,,,
4763,材料*-KY,強勢噴出,雙主力連買,51.5,0.19,444,6,444,894,1,1,9161,-129,9161,51.46,49.67,46.68,是,是,否,否,否,否,均線多頭,,,
5288,豐祥-KY,趨勢持續,雙主力連買,188.5,0.53,54,5,54,113,1,1,-21,5,-21,192.2,190.85,180.95,是,是,否,否,否,否,均線多頭,,,
2376,技嘉,強勢噴出,外資連買,397.5,1.02,5115,-5,5115,10225,6,0,19591,-956,19591,373.3,346.75,344.7,是,是,否,否,是,否,均線多頭、布林突破,,,
2354,鴻準,強勢噴出,外資連買,62.5,0.48,3305,-8,3305,6602,6,0,22360,-16,22360,62.82,57.85,57.93,否,是,否,否,否,否,—,,,
6213,聯茂,強勢噴出,外資連買,480.0,2.35,1788,-2,1788,3574,6,0,12151,201,12151,458.5,351.43,320.22,是,是,否,否,否,否,均線多頭,,,
1440,南紡,強勢噴出,外資連買,13.55,0.74,771,0,771,1542,6,0,5064,3,5064,,,,,,,,,,—,,,
1904,正隆,強勢噴出,外資連買,24.45,0.82,570,0,570,1140,6,0,10691,2,10691,24.59,22.27,21.85,是,是,否,否,否,否,均線多頭,,,
6108,競國,強勢噴出,外資連買,22.1,1.84,563,0,563,1126,6,0,3389,0,3389,20.4,17.8,18.5,否,是,否,否,是,否,布林突破,,,
2454,聯發科,強勢噴出,外資連買,4210.0,0.36,1494,-409,1494,2579,6,0,7629,-825,7629,4086.0,3772.25,4046.67,否,是,否,否,否,否,—,,,
3006,晶豪科,強勢噴出,外資連買,273.5,1.48,412,0,412,824,6,0,6473,-10,6473,273.6,224.0,227.11,否,是,否,否,否,否,—,,,
6112,邁達特,強勢噴出,外資連買,46.9,0.75,343,0,343,686,6,0,1226,0,1226,46.53,42.47,44.13,否,是,否,否,否,否,—,,,
3062,建漢,低位啟動,外資連買,21.3,1.43,276,0,276,552,6,0,1276,0,1276,,,,,,,,,,—,,,
1304,台聚,低位啟動,外資連買,12.0,1.69,236,0,236,472,6,0,3378,0,3378,,,,,,,,,,—,,,
3051,力特,低位啟動,外資連買,23.6,0.85,201,0,201,402,6,0,1199,0,1199,,,,,,,,,,—,,,
6235,華孚,低位啟動,外資連買,39.05,0.64,213,0,213,426,6,0,544,0,544,,,,,,,,,,—,,,
9946,三發地產,低位啟動,外資連買,19.05,0.26,123,0,123,246,6,0,400,-3,400,18.65,18.17,18.3,否,是,否,否,是,否,布林突破,,,
1446,宏和,低位啟動,外資連買,13.95,0.36,78,0,78,156,6,0,138,0,138,13.98,13.87,15.46,否,否,否,否,否,否,—,,,
3376,新日興,趨勢持續,外資連買,189.5,0.0,65,0,65,130,6,0,1004,8,1004,187.7,183.22,198.21,否,否,否,否,否,否,—,,,
4739,康普,低位啟動,外資連買,89.2,1.94,54,0,54,108,6,0,1164,0,1164,87.62,82.2,101.05,否,否,否,否,否,否,—,,,
6491,晶碩,趨勢持續,外資連買,369.0,0.27,79,0,79,158,6,0,623,-68,623,374.8,351.57,339.86,是,是,否,否,否,否,均線多頭,,,
3046,建碁,趨勢持續,外資連買,59.8,2.05,62,0,62,124,6,0,1280,0,1280,60.5,55.52,55.48,是,是,否,否,否,否,均線多頭,,,
7799,禾榮科,趨勢持續,外資連買,367.0,0.55,43,0,43,86,6,0,136,0,136,,,,,,,,,,—,,,
4736,泰博,低位啟動,外資連買,139.0,1.46,21,0,21,42,6,0,760,0,760,,,,,,,,,,—,,,
2471,資通,低位啟動,外資連買,50.1,0.4,35,0,35,70,6,0,340,0,340,,,,,,,,,,—,,,
9902,台火,低位啟動,外資連買,13.7,1.11,13,0,13,26,6,0,85,0,85,13.81,13.71,13.77,否,是,否,否,否,否,—,,,
2250,IKKA-KY,低位啟動,外資連買,60.5,0.83,12,0,12,24,6,0,45,0,45,60.14,59.53,62.2,否,否,否,否,否,否,—,,,
6781,AES-KY,趨勢持續,外資連買,1120.0,0.45,15,0,15,30,6,0,1130,-2,1130,1152.0,1023.8,1110.6,否,是,否,否,否,否,—,,,
6592,和潤企業,低位啟動,外資連買,61.4,0.49,10,0,10,20,6,0,783,-11,783,61.26,60.69,61.95,否,是,否,否,否,否,—,,,
8411,福貞-KY,低位啟動,外資連買,12.95,0.39,3,0,3,6,6,0,113,0,113,12.99,12.98,12.45,是,是,否,否,否,否,均線多頭,,,
1473,台南,低位啟動,外資連買,20.0,0.25,5,0,5,10,6,0,48,0,48,,,,,,,,,,—,,,
0061,元大寶滬深,低位啟動,外資連買,24.7,1.94,11,0,11,22,6,0,348,0,348,,,,,,,,,,—,,,
2436,偉詮電,趨勢持續,外資連買,69.1,3.13,275,0,275,550,6,0,8802,-325,8802,,,,,,,,,,—,,,
0050,元大台灣50,強勢噴出,外資連買,106.4,0.28,35877,0,35877,71754,5,0,102893,-5085,102893,105.43,101.98,103.82,否,是,否,否,否,否,—,,,
2353,宏碁,強勢噴出,外資連買,32.3,2.38,11128,-336,11128,21920,5,0,39709,-73,39709,31.53,30.03,32.76,否,是,否,否,是,否,布林突破,,,
2337,旺宏,強勢噴出,外資連買,137.0,0.37,7707,-15,7707,15399,5,0,38134,8662,38134,135.2,121.82,142.53,否,否,否,否,否,否,—,,,
3037,欣興,強勢噴出,外資連買,1020.0,2.0,3480,-86,3480,6874,5,0,12923,-929,12923,1000.8,885.5,933.15,否,是,否,否,否,否,—,,,
1605,華新,強勢噴出,外資連買,39.05,0.64,3904,-20,3904,7788,5,0,110664,-55,110664,38.93,34.11,36.03,否,是,否,否,否,否,—,,,
1802,台玻,強勢噴出,外資連買,57.9,1.76,1777,0,1777,3554,5,0,9587,-5,9587,56.6,52.29,62.62,否,否,否,否,否,否,—,,,
3576,聯合再生,強勢噴出,外資連買,17.75,0.85,1647,0,1647,3294,5,0,11121,-7,11121,,,,,,,,,,—,,,
1710,東聯,強勢噴出,外資連買,15.05,1.69,1487,0,1487,2974,5,0,4130,0,4130,,,,,,,,,,—,,,
2489,瑞軒,強勢噴出,外資連買,31.5,1.61,1382,0,1382,2764,5,0,5048,-8,5048,,,,,,,,,,—,,,
1618,合機,強勢噴出,外資連買,41.7,1.83,1162,0,1162,2324,5,0,2369,0,2369,,,,,,,,,,—,,,
3356,奇偶,強勢噴出,外資連買,65.5,4.13,909,0,909,1818,5,0,2010,0,2010,,,,,,,,,,—,,,
1513,中興電,強勢噴出,外資連買,170.0,0.59,1324,0,1324,2648,5,0,15013,-6,15013,,,,,,,,,,—,,,
2369,菱生,強勢噴出,外資連買,33.1,0.46,833,0,833,1666,5,0,2381,0,2381,,,,,,,,,,—,,,
6443,元晶,強勢噴出,外資連買,27.2,1.87,521,0,521,1042,5,0,4163,0,4163,27.12,26.63,33.74,否,否,否,否,否,否,—,,,
2420,新巨,強勢噴出,外資連買,58.6,1.56,545,0,545,1090,5,0,1308,0,1308,57.34,56.0,59.84,否,否,否,否,否,否,—,,,
1612,宏泰,強勢噴出,外資連買,34.8,1.46,458,0,458,916,5,0,2202,-9,2202,34.14,31.62,34.84,否,是,否,否,是,否,布林突破,,,
2457,飛宏,強勢噴出,外資連買,23.55,0.43,375,0,375,750,5,0,1124,0,1124,23.5,23.15,26.53,否,否,否,否,否,否,—,,,
4927,泰鼎-KY,強勢噴出,外資連買,33.35,3.73,303,0,303,606,5,0,1569,0,1569,34.01,32.84,43.73,否,否,否,否,否,否,—,,,
8110,華東,低位啟動,外資連買,46.85,1.52,288,0,288,576,5,0,3338,0,3338,46.46,42.45,51.02,否,否,否,否,否,否,—,,,
2429,銘旺科,強勢噴出,外資連買,34.9,9.92,209,0,209,418,5,0,425,0,425,,,,,,,,,,—,,,
4906,正文,低位啟動,外資連買,36.3,0.83,186,0,186,372,5,0,2674,0,2674,,,,,,,,,,—,,,
1524,耿鼎,低位啟動,外資連買,27.15,0.74,162,0,162,324,5,0,465,0,465,,,,,,,,,,—,,,
4562,穎漢,低位啟動,外資連買,32.6,1.4,75,0,75,150,5,0,386,0,386,32.73,31.14,35.03,否,否,否,否,否,否,—,,,
6949,沛爾生醫-創,趨勢持續,外資連買,1070.0,4.9,89,0,89,178,5,0,199,0,199,1013.6,946.2,852.8,是,是,否,否,否,否,均線多頭,,,
6606,建德工業,低位啟動,外資連買,27.1,0.37,54,0,54,108,5,0,218,0,218,26.93,26.17,25.72,是,是,否,否,否,否,均線多頭,,,
