代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2006,東和鋼鐵,強勢噴出,雙主力連買,72.4,0.84,2699,353,2699,5751,5,5,7204,1365,7204,70.96,69.64,67.78,是,是,否,否,是,否,均線多頭、布林突破,,,
5871,中租-KY,強勢噴出,雙主力連買,120.5,1.26,3607,765,3607,7979,4,5,5511,1901,5511,117.7,115.85,114.75,是,否,否,否,是,否,均線多頭、布林突破,,,
6669,緯穎,趨勢持續,雙主力連買,5115.0,0.39,21,20,21,62,4,5,-328,709,-328,,,,,,,,,,—,,,
1402,遠東新,強勢噴出,雙主力連買,27.8,0.91,12663,1062,12663,26388,3,5,24125,13759,24125,27.2,28.27,27.04,否,否,否,否,否,否,—,,,
2633,台灣高鐵,強勢噴出,雙主力連買,26.15,0.77,999,345,999,2343,3,5,6336,3722,6336,26.15,26.26,26.02,否,是,否,否,否,否,—,,,
1590,亞德客-KY,趨勢持續,雙主力連買,1350.0,1.12,29,1,29,59,5,3,435,31,435,1321.0,1360.75,1384.25,否,是,否,否,否,否,—,,,
6505,台塑化,強勢噴出,雙主力連買,80.0,9.89,3891,2519,3891,10301,5,2,37146,5321,37146,68.18,58.75,54.69,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
2449,京元電子,強勢噴出,雙主力連買,318.0,3.58,3576,571,3576,7723,2,5,-10841,3301,-10841,306.4,319.93,307.59,否,是,是,否,否,否,KD黃金交叉,,,
6414,樺漢,強勢噴出,雙主力連買,400.0,1.39,522,56,522,1100,5,2,2305,160,2305,390.9,380.48,361.35,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
9917,中保科,低位啟動,雙主力連買,108.0,0.93,75,98,75,248,2,5,311,379,311,,,,,,,,,,—,,,
