代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
3231,緯創,強勢噴出,雙主力連買,177.0,1.14,3633,3219,3633,10485,6,3,147437,11876,147437,168.6,154.9,153.59,是,是,否,否,否,否,均線多頭,,,
8261,富鼎,強勢噴出,雙主力連買,216.5,0.23,433,3,433,869,3,6,1364,140,1364,233.2,282.8,206.95,否,否,否,否,否,否,—,,,
2375,凱美,低位啟動,雙主力連買,131.0,0.0,251,5,251,507,3,6,-1080,176,-1080,137.8,176.0,154.59,否,否,否,否,否,否,—,,,
6155,鈞寶,低位啟動,雙主力連買,55.0,1.29,44,3,44,91,3,6,-323,119,-323,,,,,,,,,,—,,,
6525,捷敏-KY,低位啟動,雙主力連買,142.0,0.35,10,3,10,23,3,6,1688,100,1688,147.7,171.8,138.38,否,否,否,否,否,否,—,,,
2618,長榮航,強勢噴出,雙主力連買,41.95,3.07,19049,1347,19049,39445,6,2,72176,-8014,72176,41.58,42.09,38.84,否,否,否,否,否,否,—,,,
2890,永豐金,強勢噴出,雙主力連買,39.6,2.72,15105,1137,15105,31347,2,6,11039,26121,11039,39.39,39.97,35.08,否,否,是,否,否,否,KD黃金交叉,,,
2610,華航,強勢噴出,雙主力連買,21.25,3.66,11819,4459,11819,28097,2,6,-3079,11446,-3079,21.03,21.65,20.33,否,否,是,否,否,否,KD黃金交叉,,,
2412,中華電,強勢噴出,雙主力連買,140.5,1.08,13605,93,13605,27303,6,2,35144,338,35144,139.0,138.5,139.44,否,否,否,否,否,否,—,,,
2885,元大金,強勢噴出,雙主力連買,64.7,2.54,1646,6506,1646,9798,5,3,57175,1112,57175,63.1,66.02,62.01,否,否,否,否,否,否,—,,,
1402,遠東新,強勢噴出,雙主力連買,27.45,0.37,5660,2184,5660,13504,6,2,40522,5276,40522,27.31,27.81,27.19,否,否,否,否,否,否,—,,,
3045,台灣大,強勢噴出,雙主力連買,113.5,0.0,6845,122,6845,13812,6,2,35306,-5209,35306,112.7,113.38,114.28,否,否,否,否,否,否,—,,,
4904,遠傳,強勢噴出,雙主力連買,107.5,1.9,6451,100,6451,13002,6,2,28846,-7414,28846,104.1,101.66,100.85,是,否,否,否,否,否,均線多頭,,,
2892,第一金,強勢噴出,雙主力連買,34.8,1.46,3094,1226,3094,7414,2,6,-23238,27270,-23238,34.42,33.59,30.94,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
2882,國泰金,強勢噴出,雙主力連買,98.5,1.55,3891,510,3891,8292,6,2,31600,-5826,31600,97.08,96.35,92.56,是,否,否,否,否,否,均線多頭,,,
5871,中租-KY,強勢噴出,雙主力連買,120.0,0.0,1781,524,1781,4086,2,6,971,9756,971,121.4,118.08,115.01,是,是,否,否,否,否,均線多頭,,,
9945,潤泰新,強勢噴出,雙主力連買,26.35,0.96,1603,9,1603,3215,6,2,6998,30,6998,26.35,26.3,25.18,是,否,否,否,否,否,均線多頭,,,
6005,群益證,強勢噴出,雙主力連買,35.6,2.3,1149,29,1149,2327,6,2,13666,-14792,13666,34.52,35.75,35.77,否,否,否,否,否,否,—,,,
2603,長榮,強勢噴出,雙主力連買,203.5,1.24,891,78,891,1860,6,2,21954,-3318,21954,,,,,,,,,,—,,,
3034,聯詠,強勢噴出,雙主力連買,518.0,2.17,884,20,884,1788,6,2,7490,-1769,7490,,,,,,,,,,—,,,
2379,瑞昱,強勢噴出,雙主力連買,762.0,2.42,734,22,734,1490,2,6,-981,1040,-981,,,,,,,,,,—,,,
4551,智伸科,強勢噴出,雙主力連買,182.0,1.11,419,3,419,841,2,6,-46,121,-46,183.7,215.43,180.62,否,否,否,否,否,否,—,,,
1476,儒鴻,趨勢持續,雙主力連買,341.5,2.09,246,5,246,497,6,2,1302,-907,1302,338.2,331.9,335.88,否,是,是,否,否,否,KD黃金交叉,,,
6409,旭隼,趨勢持續,雙主力連買,1000.0,1.52,134,2,134,270,2,6,7,209,7,1000.4,1079.35,897.72,否,是,否,否,否,否,—,,,
2385,群光,低位啟動,雙主力連買,106.0,0.47,15,16,15,46,6,2,6318,-3115,6318,105.9,105.47,121.05,否,否,否,否,否,否,—,,,
9946,三發地產,低位啟動,雙主力連買,18.1,0.84,75,7,75,157,2,6,-114,262,-114,18.17,18.91,17.88,否,否,是,否,否,否,KD黃金交叉,,,
2414,精技,趨勢持續,雙主力連買,57.2,2.69,83,4,83,170,2,6,-963,170,-963,,,,,,,,,,—,,,
1342,八貫,低位啟動,雙主力連買,110.0,0.92,33,1,33,67,2,6,-80,62,-80,112.0,113.17,105.06,否,否,否,否,否,否,—,,,
1590,亞德客-KY,趨勢持續,雙主力連買,1440.0,1.05,34,1,34,69,2,6,138,284,138,1412.0,1363.5,1384.67,否,是,否,否,否,否,—,,,
2491,吉祥全,趨勢持續,雙主力連買,28.2,3.3,10,3,10,23,2,6,-181,91,-181,,,,,,,,,,—,,,
2605,新興,強勢噴出,雙主力連買,31.6,2.27,389,4,389,782,5,3,3314,15,3314,31.78,30.72,31.5,否,是,否,否,否,否,—,,,
1718,中纖,強勢噴出,雙主力連買,10.25,7.89,15561,46,15561,31168,1,6,4672,2643,4672,11.63,13.39,9.69,否,是,否,否,否,否,—,,,
2880,華南金,強勢噴出,雙主力連買,41.4,1.72,685,3955,685,5325,1,6,-42329,37123,-42329,41.08,39.2,35.73,是,是,否,否,否,否,均線多頭,,,
2883,凱基金,強勢噴出,雙主力連買,30.7,0.16,5285,269,5285,10839,5,2,85538,4807,85538,30.47,29.74,26.52,是,是,否,否,否,否,均線多頭,,,
2801,彰銀,強勢噴出,雙主力連買,24.7,1.44,4912,625,4912,10449,1,6,-24702,32790,-24702,24.45,23.91,22.19,是,是,否,否,是,否,均線多頭、布林突破,,,
1714,和桐,強勢噴出,雙主力連買,14.45,3.21,4964,41,4964,9969,1,6,-4314,1556,-4314,15.14,17.43,14.0,否,否,否,否,否,否,—,,,
2881,富邦金,強勢噴出,雙主力連買,130.0,1.96,3446,398,3446,7290,5,2,13393,2686,13393,127.3,125.3,115.7,是,否,否,否,否,否,均線多頭,,,
1102,亞泥,強勢噴出,雙主力連買,33.1,1.07,1594,36,1594,3224,5,2,10761,261,10761,32.83,34.5,34.63,否,否,是,否,否,否,KD黃金交叉,,,
2317,鴻海,強勢噴出,雙主力連買,253.0,0.2,522,737,522,1781,1,6,59075,4130,59075,252.1,243.07,254.9,否,否,否,否,否,否,—,,,
2006,東和鋼鐵,強勢噴出,雙主力連買,73.0,1.67,1319,294,1319,2932,5,2,4644,745,4644,71.72,70.18,68.15,是,是,否,否,否,否,均線多頭,,,
1515,力山,強勢噴出,雙主力連買,32.45,4.85,927,6,927,1860,1,6,-381,255,-381,,,,,,,,,,—,,,
1447,力鵬,強勢噴出,雙主力連買,7.34,2.23,590,27,590,1207,1,6,-1268,1329,-1268,,,,,,,,,,—,,,
2395,研華,強勢噴出,雙主力連買,577.0,0.7,606,15,606,1227,1,6,-2896,1096,-2896,,,,,,,,,,—,,,
8033,雷虎,強勢噴出,雙主力連買,186.0,0.54,540,6,540,1086,1,6,-2312,252,-2312,,,,,,,,,,—,,,
2377,微星,強勢噴出,雙主力連買,146.5,0.0,514,14,514,1042,1,6,7352,2077,7352,149.2,145.1,131.11,是,是,否,否,否,否,均線多頭,,,
2302,麗正,趨勢持續,雙主力連買,41.5,3.75,269,3,269,541,1,6,-2171,151,-2171,42.02,45.73,36.8,否,否,否,否,否,否,—,,,
6226,光鼎,低位啟動,雙主力連買,18.65,0.81,188,5,188,381,1,6,-5027,181,-5027,,,,,,,,,,—,,,
6585,鼎基,低位啟動,雙主力連買,121.0,1.26,98,1,98,197,1,6,-56,35,-56,124.9,126.25,114.32,否,否,否,否,否,否,—,,,
1708,東鹼,低位啟動,雙主力連買,52.5,0.38,77,10,77,164,1,6,-2390,382,-2390,53.3,55.69,47.32,否,是,否,否,否,否,—,,,
2316,楠梓電,趨勢持續,雙主力連買,155.0,0.65,82,15,82,179,1,6,-2588,269,-2588,158.7,187.95,169.2,否,否,否,否,否,否,—,,,
2415,錩新,低位啟動,雙主力連買,32.2,1.42,82,4,82,168,1,6,-253,143,-253,33.66,35.95,30.66,否,是,否,否,否,否,—,,,
3550,聯穎,趨勢持續,雙主力連買,21.4,2.64,48,4,48,100,1,6,-1022,155,-1022,22.24,27.11,25.55,否,否,否,否,否,否,—,,,
3015,全漢,低位啟動,雙主力連買,55.1,1.1,13,6,13,32,1,6,-1493,220,-1493,55.66,61.39,57.44,否,否,是,否,否,否,KD黃金交叉,,,
7722,LINEPAY,趨勢持續,雙主力連買,293.5,0.69,1,1,1,3,1,6,-66,30,-66,300.7,310.73,296.67,否,否,否,否,否,否,—,,,
