代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
5871,中租-KY,強勢噴出,雙主力連買,119.5,0.84,641,3271,641,4553,5,5,7258,5043,7258,118.7,116.08,114.78,是,是,否,否,否,否,均線多頭,,,
2006,東和鋼鐵,強勢噴出,雙主力連買,70.2,3.24,736,9,736,1481,5,5,6247,1137,6247,70.96,69.67,67.78,是,是,否,否,否,否,均線多頭,,,
1590,亞德客-KY,強勢噴出,雙主力連買,1265.0,7.2,18,93,18,129,5,4,446,125,446,,,,,,,,,,—,,,
6505,台塑化,強勢噴出,雙主力連買,81.3,1.62,5813,7917,5813,19543,5,3,42216,13244,42216,72.68,60.19,55.16,是,是,否,否,是,否,均線多頭、布林突破,,,
9917,中保科,強勢噴出,雙主力連買,109.0,0.93,539,217,539,1295,3,5,658,440,658,107.6,107.97,112.38,否,否,否,否,否,否,—,,,
6414,樺漢,強勢噴出,雙主力連買,395.0,1.28,692,2,692,1386,5,3,2812,164,2812,391.1,381.7,362.73,是,是,否,否,否,否,均線多頭,,,
2637,慧洋-KY,趨勢持續,雙主力連買,79.4,4.06,35,69,35,139,3,5,1940,1075,1940,82.86,77.61,75.97,是,是,否,否,否,否,均線多頭,,,
2884,玉山金,強勢噴出,雙主力連買,35.1,0.57,53198,627,53198,107023,5,2,69757,2722,69757,34.71,34.66,33.18,是,否,否,否,否,否,均線多頭,,,
2892,第一金,強勢噴出,雙主力連買,34.1,0.44,7607,9309,7607,24523,5,2,33015,9845,33015,33.67,33.04,30.35,是,是,否,否,否,否,均線多頭,,,
2455,全新,強勢噴出,雙主力連買,282.0,12.35,860,47,860,1767,5,2,3606,-97,3606,310.8,349.02,367.0,否,否,否,否,否,否,—,,,
1477,聚陽,強勢噴出,雙主力連買,216.0,1.65,306,1,306,613,2,5,-184,328,-184,,,,,,,,,,—,,,
1216,統一,強勢噴出,雙主力連買,80.0,1.27,4248,6315,4248,14811,1,5,3825,8647,3825,78.92,76.62,74.06,是,是,否,否,否,否,均線多頭,,,
2610,華航,強勢噴出,雙主力連買,20.75,0.73,5908,6406,5908,18222,5,1,66500,-34993,66500,20.86,22.18,20.03,否,否,否,否,否,否,—,,,
5880,合庫金,強勢噴出,雙主力連買,25.35,0.6,8093,406,8093,16592,5,1,38124,14,38124,25.32,24.92,23.74,是,是,否,否,否,否,均線多頭,,,
