代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2603,長榮,強勢噴出,雙主力連買,231.5,5.71,24586,122,24586,49294,3,6,38006,2213,38006,219.7,208.55,206.53,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
2886,兆豐金,強勢噴出,雙主力連買,46.6,1.64,13834,8108,13834,35776,3,6,22100,31307,22100,47.58,49.52,45.96,否,是,否,否,否,否,—,,,
2609,陽明,強勢噴出,雙主力連買,54.7,6.01,23734,289,23734,47757,2,6,28091,491,28091,52.28,51.17,51.48,否,是,否,否,是,是,布林突破、爆量長紅,,,
9910,豐泰,強勢噴出,雙主力連買,69.8,0.58,476,269,476,1221,2,6,2202,526,2202,70.36,69.24,71.83,否,是,否,否,否,否,—,,,
1402,遠東新,強勢噴出,雙主力連買,27.55,1.66,6225,553,6225,13003,1,6,19252,2158,19252,27.29,27.22,27.42,否,否,是,否,否,否,KD黃金交叉,,,
2542,興富發,強勢噴出,雙主力連買,46.8,1.3,4125,2421,4125,10671,1,6,9581,5111,9581,45.75,44.48,43.78,是,是,否,否,是,否,均線多頭、布林突破,,,
2049,上銀,強勢噴出,雙主力連買,381.5,2.14,1481,185,1481,3147,4,1,5271,-573,5271,374.6,339.85,343.02,否,是,否,否,否,否,—,,,
3008,大立光,強勢噴出,雙主力連買,5070.0,9.98,652,46,652,1350,1,4,288,386,288,,,,,,,,,,—,,,
2892,第一金,強勢噴出,雙主力連買,33.4,0.15,2813,15415,2813,21041,1,3,47093,31169,47093,33.15,34.64,32.4,否,否,否,否,否,否,—,,,
2383,台光電,趨勢持續,雙主力連買,6350.0,3.0,141,1,141,283,2,2,1249,328,1249,,,,,,,,,,—,,,
5288,豐祥-KY,趨勢持續,雙主力連買,195.5,3.71,22,1,22,45,2,2,-45,6,-45,191.8,191.3,181.68,是,是,否,否,否,否,均線多頭,,,
2880,華南金,強勢噴出,雙主力連買,39.2,0.64,7157,3060,7157,17374,1,2,-16166,26739,-16166,40.82,42.08,38.2,否,是,否,否,否,否,—,,,
2606,裕民,強勢噴出,雙主力連買,68.3,3.02,2355,56,2355,4766,2,1,2752,40,2752,66.78,64.36,64.8,否,是,是,否,否,是,KD黃金交叉、爆量長紅,,,
2486,一詮,強勢噴出,雙主力連買,238.0,5.54,2311,165,2311,4787,2,1,1924,415,1924,231.1,218.97,243.01,否,否,否,否,否,是,爆量長紅,,,
2464,盟立,強勢噴出,雙主力連買,186.0,3.33,888,580,888,2356,2,1,11243,580,11243,191.6,160.43,163.64,否,是,否,否,否,否,—,,,
3406,玉晶光,強勢噴出,雙主力連買,676.0,9.92,422,478,422,1322,2,1,-275,472,-275,,,,,,,,,,—,,,
8422,可寧衛*,強勢噴出,雙主力連買,26.45,0.19,435,413,435,1283,2,1,3870,407,3870,,,,,,,,,,—,,,
