代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2834,臺企銀,強勢噴出,雙主力連買,17.95,1.13,19913,8,19913,39834,1,1,19913,8,19913,17.77,17.46,16.57,是,是,否,否,否,否,均線多頭,,,
1717,長興,強勢噴出,雙主力連買,81.6,9.97,13846,248,13846,27940,1,1,13846,248,13846,74.92,72.6,77.1,否,否,是,否,是,是,KD黃金交叉、布林突破、爆量長紅,,,
2609,陽明,強勢噴出,雙主力連買,52.4,2.75,12552,37,12552,25141,1,1,12552,37,12552,51.5,51.56,51.07,否,否,是,是,否,否,KD黃金交叉、MACD翻多,,,
2002,中鋼,強勢噴出,雙主力連買,18.95,1.88,13479,21,13479,26979,1,1,13479,21,13479,18.81,18.93,19.03,否,否,否,否,否,否,—,,,
2105,正新,強勢噴出,雙主力連買,32.15,1.42,13642,198,13642,27482,1,1,13642,198,13642,30.83,31.73,32.05,否,否,否,是,否,否,MACD翻多,,,
2812,台中銀,強勢噴出,雙主力連買,20.4,1.24,12212,10,12212,24434,1,1,12212,10,12212,20.09,19.75,19.68,是,是,否,否,是,否,均線多頭、布林突破,,,
2615,萬海,強勢噴出,雙主力連買,82.8,4.94,10357,159,10357,20873,1,1,10357,159,10357,79.56,81.17,79.08,否,否,否,否,否,是,爆量長紅,,,
1402,遠東新,強勢噴出,雙主力連買,29.1,2.46,9228,1054,9228,19510,1,1,9228,1054,9228,28.67,28.21,26.88,是,是,否,否,否,否,均線多頭,,,
2892,第一金,強勢噴出,雙主力連買,32.4,0.93,4958,5576,4958,15492,1,1,4958,5576,4958,32.69,31.75,29.62,是,是,否,否,否,否,均線多頭,,,
2885,元大金,強勢噴出,雙主力連買,67.2,2.13,6786,2333,6786,15905,1,1,6786,2333,6786,66.08,65.58,58.03,是,是,否,否,否,否,均線多頭,,,
1216,統一,強勢噴出,雙主力連買,76.3,1.87,8739,43,8739,17521,1,1,8739,43,8739,75.18,75.02,73.13,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
9904,寶成,強勢噴出,雙主力連買,24.45,1.45,8216,25,8216,16457,1,1,8216,25,8216,24.86,25.87,26.21,否,否,是,否,否,否,KD黃金交叉,,,
1101,台泥,強勢噴出,雙主力連買,23.65,2.38,7738,12,7738,15488,1,1,7738,12,7738,23.59,24.13,24.44,否,否,是,否,否,否,KD黃金交叉,,,
2603,長榮,強勢噴出,雙主力連買,195.0,5.12,6656,116,6656,13428,1,1,6656,116,6656,186.9,202.8,206.65,否,否,否,否,否,是,爆量長紅,,,
2890,永豐金,強勢噴出,雙主力連買,39.7,0.51,3879,2258,3879,10016,1,1,3879,2258,3879,39.72,37.14,33.16,是,是,否,否,否,否,均線多頭,,,
2845,遠東銀,強勢噴出,雙主力連買,13.15,1.15,5368,533,5368,11269,1,1,5368,533,5368,13.05,12.92,12.48,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
2880,華南金,強勢噴出,雙主力連買,37.65,2.87,1225,3156,1225,5606,1,1,1225,3156,1225,37.25,36.73,34.5,是,是,否,否,否,否,均線多頭,,,
5880,合庫金,強勢噴出,雙主力連買,24.7,0.61,4532,101,4532,9165,1,1,4532,101,4532,24.76,24.37,23.54,是,是,否,否,否,否,均線多頭,,,
8112,至上,強勢噴出,雙主力連買,92.9,4.38,123,4579,123,4825,1,1,123,4579,123,91.22,93.9,88.39,否,否,是,否,否,是,KD黃金交叉、爆量長紅,,,
2855,統一證,強勢噴出,雙主力連買,51.9,4.32,3661,799,3661,8121,1,1,3661,799,3661,50.45,51.56,43.31,否,否,是,否,否,否,KD黃金交叉,,,
1609,大亞,強勢噴出,雙主力連買,39.8,4.33,3914,1,3914,7829,1,1,3914,1,3914,38.3,37.65,35.79,是,否,否,是,是,是,均線多頭、MACD翻多、布林突破、爆量長紅,,,
2542,興富發,強勢噴出,雙主力連買,43.65,1.28,3540,338,3540,7418,1,1,3540,338,3540,43.05,43.73,41.26,否,是,否,否,否,否,—,,,
1810,和成,強勢噴出,雙主力連買,23.25,9.93,3953,42,3953,7948,1,1,3953,42,3953,21.3,20.81,19.27,是,是,否,是,是,是,均線多頭、MACD翻多、布林突破、爆量長紅,,,
2382,廣達,強勢噴出,雙主力連買,377.0,2.17,1229,1974,1229,4432,1,1,1229,1974,1229,370.6,372.65,343.91,否,否,否,否,否,否,—,,,
2605,新興,強勢噴出,雙主力連買,30.8,6.02,3188,2,3188,6378,1,1,3188,2,3188,29.63,30.85,32.57,否,否,是,否,否,否,KD黃金交叉,,,
1605,華新,強勢噴出,雙主力連買,36.25,1.97,3019,7,3019,6045,1,1,3019,7,3019,36.03,37.27,35.26,否,否,否,否,否,否,—,,,
2201,裕隆,強勢噴出,雙主力連買,28.8,3.6,2826,2,2826,5654,1,1,2826,2,2826,27.62,27.67,27.39,否,否,否,是,是,是,MACD翻多、布林突破、爆量長紅,,,
1904,正隆,強勢噴出,雙主力連買,23.2,5.69,2849,3,2849,5701,1,1,2849,3,2849,21.76,22.26,19.91,否,是,否,否,否,是,爆量長紅,,,
2027,大成鋼,強勢噴出,雙主力連買,41.15,1.23,2126,560,2126,4812,1,1,2126,560,2126,40.81,41.55,40.18,否,否,否,否,否,否,—,,,
2317,鴻海,強勢噴出,雙主力連買,240.5,0.63,586,1103,586,2275,1,1,586,1103,586,245.0,260.27,247.51,否,否,否,否,否,否,—,,,
8422,可寧衛*,強勢噴出,雙主力連買,28.35,5.78,642,1785,642,3069,1,1,642,1785,642,27.54,28.36,28.08,否,否,是,否,否,是,KD黃金交叉、爆量長紅,,,
2633,台灣高鐵,強勢噴出,雙主力連買,26.8,1.52,1710,794,1710,4214,1,1,1710,794,1710,,,,,,,,,,—,,,
1504,東元,強勢噴出,雙主力連買,70.0,1.45,2385,2,2385,4772,1,1,2385,2,2385,,,,,,,,,,—,,,
6213,聯茂,強勢噴出,雙主力連買,394.0,9.9,1532,18,1532,3082,1,1,1532,18,1532,,,,,,,,,,—,,,
2371,大同,強勢噴出,雙主力連買,28.0,2.0,2244,127,2244,4615,1,1,2244,127,2244,,,,,,,,,,—,,,
2606,裕民,強勢噴出,雙主力連買,61.8,3.0,1991,44,1991,4026,1,1,1991,44,1991,,,,,,,,,,—,,,
8131,福懋科,強勢噴出,雙主力連買,74.8,6.25,1915,2,1915,3832,1,1,1915,2,1915,,,,,,,,,,—,,,
1608,華榮,強勢噴出,雙主力連買,34.8,2.96,1719,166,1719,3604,1,1,1719,166,1719,,,,,,,,,,—,,,
2897,王道銀行,強勢噴出,雙主力連買,10.55,0.48,1674,234,1674,3582,1,1,1674,234,1674,,,,,,,,,,—,,,
3380,明泰,強勢噴出,雙主力連買,36.0,5.73,1712,1,1712,3425,1,1,1712,1,1712,,,,,,,,,,—,,,
2206,三陽工業,強勢噴出,雙主力連買,64.0,3.23,1647,59,1647,3353,1,1,1647,59,1647,,,,,,,,,,—,,,
6491,晶碩,強勢噴出,雙主力連買,372.5,7.35,1589,11,1589,3189,1,1,1589,11,1589,,,,,,,,,,—,,,
1722,台肥,強勢噴出,雙主力連買,48.75,1.35,1649,2,1649,3300,1,1,1649,2,1649,,,,,,,,,,—,,,
6257,矽格,強勢噴出,雙主力連買,254.5,1.39,1290,207,1290,2787,1,1,1290,207,1290,,,,,,,,,,—,,,
2646,星宇航空,強勢噴出,雙主力連買,21.3,1.19,1402,168,1402,2972,1,1,1402,168,1402,,,,,,,,,,—,,,
9939,宏全,強勢噴出,雙主力連買,122.0,3.39,1528,69,1528,3125,1,1,1528,69,1528,,,,,,,,,,—,,,
1227,佳格,強勢噴出,雙主力連買,30.0,2.56,1224,1,1224,2449,1,1,1224,1,1224,,,,,,,,,,—,,,
1440,南紡,強勢噴出,雙主力連買,14.45,3.58,1319,4,1319,2642,1,1,1319,4,1319,,,,,,,,,,—,,,
1907,永豐餘,強勢噴出,雙主力連買,28.15,2.93,1174,127,1174,2475,1,1,1174,127,1174,27.42,26.83,25.38,是,是,是,是,否,否,均線多頭、KD黃金交叉、MACD翻多,,,
2392,正崴,強勢噴出,雙主力連買,39.75,4.88,1148,1,1148,2297,1,1,1148,1,1148,38.13,38.96,38.0,否,否,是,否,否,是,KD黃金交叉、爆量長紅,,,
1795,美時,強勢噴出,雙主力連買,199.5,3.91,856,15,856,1727,1,1,856,15,856,192.5,193.53,206.7,否,否,否,否,否,是,爆量長紅,,,
6282,康舒,強勢噴出,雙主力連買,58.3,0.34,472,700,472,1644,1,1,472,700,472,57.4,58.91,54.96,否,否,否,否,否,否,—,,,
1477,聚陽,強勢噴出,雙主力連買,228.5,2.93,629,362,629,1620,1,1,629,362,629,223.1,221.2,219.32,是,否,否,否,否,否,均線多頭,,,
8028,昇陽半導體,強勢噴出,雙主力連買,334.5,4.37,735,215,735,1685,1,1,735,215,735,314.5,312.1,273.57,是,否,否,否,否,是,均線多頭、爆量長紅,,,
2912,統一超,強勢噴出,雙主力連買,231.0,1.09,792,80,792,1664,1,1,792,80,792,226.0,226.25,226.57,否,否,否,是,否,否,MACD翻多,,,
2204,中華,強勢噴出,雙主力連買,57.1,1.24,632,39,632,1303,1,1,632,39,632,56.2,55.73,54.41,是,是,否,否,是,否,均線多頭、布林突破,,,
9914,美利達,強勢噴出,雙主力連買,76.6,2.41,552,32,552,1136,1,1,552,32,552,77.08,73.17,66.1,是,是,否,否,否,否,均線多頭,,,
3017,奇鋐,強勢噴出,雙主力連買,2760.0,0.73,295,398,295,988,1,1,295,398,295,2589.0,2472.0,2538.42,否,否,否,否,是,否,布林突破,,,
2548,華固,強勢噴出,雙主力連買,103.5,1.47,645,2,645,1292,1,1,645,2,645,102.4,103.08,117.08,否,否,否,否,否,否,—,,,
1476,儒鴻,強勢噴出,雙主力連買,323.5,2.7,637,8,637,1282,1,1,637,8,637,317.6,329.25,336.18,否,否,否,否,否,否,—,,,
2354,鴻準,強勢噴出,雙主力連買,55.6,1.28,571,8,571,1150,1,1,571,8,571,55.12,56.79,56.89,否,否,否,否,否,否,—,,,
2851,中再保,強勢噴出,雙主力連買,38.45,2.81,335,303,335,973,1,1,335,303,335,,,,,,,,,,—,,,
4766,南寶,強勢噴出,雙主力連買,370.5,2.77,457,113,457,1027,1,1,457,113,457,,,,,,,,,,—,,,
8016,矽創,強勢噴出,雙主力連買,334.0,1.98,405,157,405,967,1,1,405,157,405,,,,,,,,,,—,,,
4961,天鈺,強勢噴出,雙主力連買,173.0,4.22,393,149,393,935,1,1,393,149,393,,,,,,,,,,—,,,
2031,新光鋼,強勢噴出,雙主力連買,39.05,1.96,433,92,433,958,1,1,433,92,433,,,,,,,,,,—,,,
2023,燁輝,強勢噴出,雙主力連買,13.65,1.49,520,4,520,1044,1,1,520,4,520,,,,,,,,,,—,,,
2520,冠德,強勢噴出,雙主力連買,34.85,0.72,511,2,511,1024,1,1,511,2,511,,,,,,,,,,—,,,
2395,研華,強勢噴出,雙主力連買,521.0,2.16,463,34,463,960,1,1,463,34,463,,,,,,,,,,—,,,
2383,台光電,強勢噴出,雙主力連買,6080.0,7.52,334,114,334,782,1,1,334,114,334,,,,,,,,,,—,,,
9917,中保科,強勢噴出,雙主力連買,107.0,1.9,433,51,433,917,1,1,433,51,433,,,,,,,,,,—,,,
3004,豐達科,強勢噴出,雙主力連買,150.0,9.89,312,40,312,664,1,1,312,40,312,,,,,,,,,,—,,,
1229,聯華,強勢噴出,雙主力連買,43.75,1.51,396,61,396,853,1,1,396,61,396,,,,,,,,,,—,,,
6197,佳必琪,強勢噴出,雙主力連買,372.5,2.48,362,1,362,725,1,1,362,1,362,355.7,343.82,266.12,是,是,否,否,否,否,均線多頭,,,
3708,上緯投控,趨勢持續,雙主力連買,110.5,4.74,285,50,285,620,1,1,285,50,285,107.4,114.17,118.67,否,否,是,否,否,否,KD黃金交叉,,,
