代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2633,台灣高鐵,強勢噴出,雙主力連買,26.35,0.0,970,3,970,1943,6,5,3099,503,3099,,,,,,,,,,—,,,
1303,南亞,強勢噴出,雙主力連買,227.5,9.9,146,4555,146,4847,3,6,-16375,11356,-16375,199.0,188.4,168.4,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
0050,元大台灣50,強勢噴出,雙主力連買,106.05,0.14,7029,610,7029,14668,2,6,-17980,11260,-17980,104.96,104.28,104.31,否,是,否,否,否,否,—,,,
2313,華通,強勢噴出,雙主力連買,244.0,9.91,7049,21,7049,14119,2,6,5399,5943,5399,221.9,210.97,224.83,否,是,否,否,是,是,布林突破、爆量長紅,,,
3037,欣興,強勢噴出,雙主力連買,1180.0,1.72,181,873,181,1235,6,2,9109,170,9109,,,,,,,,,,—,,,
1229,聯華,強勢噴出,雙主力連買,42.15,0.48,811,3,811,1625,6,2,2680,10,2680,42.02,41.2,41.54,否,是,否,否,否,否,—,,,
1605,華新,強勢噴出,雙主力連買,38.9,1.3,6838,3,6838,13679,5,2,25300,6,25300,38.43,36.89,36.06,是,是,否,否,否,否,均線多頭,,,
8039,台虹,強勢噴出,雙主力連買,352.5,9.98,1613,1910,1613,5136,1,6,200,4003,200,302.3,251.55,192.84,是,是,否,否,是,否,均線多頭、布林突破,,,
1503,士電,強勢噴出,雙主力連買,212.5,5.2,809,1,809,1619,6,1,1795,3,1795,,,,,,,,,,—,,,
9941,裕融,強勢噴出,雙主力連買,87.1,1.52,824,116,824,1764,1,6,609,502,609,,,,,,,,,,—,,,
2646,星宇航空,強勢噴出,雙主力連買,21.1,0.48,863,2,863,1728,6,1,4262,2,4262,21.2,21.02,21.1,否,否,否,否,否,否,—,,,
2486,一詮,強勢噴出,雙主力連買,259.0,1.37,688,20,688,1396,1,6,-6447,2712,-6447,254.4,233.78,239.91,否,是,否,否,否,否,—,,,
2903,遠百,低位啟動,雙主力連買,22.35,1.13,89,1,89,179,6,1,3853,1,3853,,,,,,,,,,—,,,
2887,台新新光金,強勢噴出,雙主力連買,37.3,0.54,3099,1780,3099,7978,3,3,22733,1328,22733,37.14,36.26,34.0,是,是,否,否,否,否,均線多頭,,,
2392,正崴,強勢噴出,雙主力連買,46.65,3.32,2902,1,2902,5805,5,1,5762,1,5762,,,,,,,,,,—,,,
