代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
6526,達發,強勢噴出,雙主力連買,703.0,4.93,368,74,368,810,3,6,408,180,408,665.4,666.1,632.29,否,否,是,否,否,是,KD黃金交叉、爆量長紅,,,
0050,元大台灣50,強勢噴出,雙主力連買,109.35,1.44,8681,6383,8681,23745,2,6,-145947,25053,-145947,106.38,105.45,96.58,是,是,否,否,否,否,均線多頭,,,
1303,南亞,強勢噴出,雙主力連買,183.0,9.91,10396,4024,10396,24816,2,6,6018,29453,6018,160.8,129.4,102.5,是,是,否,否,是,否,均線多頭、布林突破,,,
3017,奇鋐,強勢噴出,雙主力連買,2620.0,3.76,870,308,870,2048,3,5,476,1106,476,,,,,,,,,,—,,,
6446,藥華藥,趨勢持續,雙主力連買,1360.0,1.49,103,82,103,288,6,2,1603,234,1603,1264.0,1062.1,836.42,是,是,否,否,是,否,均線多頭、布林突破,,,
2382,廣達,強勢噴出,雙主力連買,372.0,1.09,2111,2514,2111,6736,1,6,-5552,12693,-5552,367.1,376.4,341.42,否,是,是,否,否,否,KD黃金交叉,,,
8046,南電,強勢噴出,雙主力連買,1175.0,0.86,2431,430,2431,5292,1,6,11544,6306,11544,1122.0,935.2,866.18,是,是,否,否,是,否,均線多頭、布林突破,,,
2492,華新科,強勢噴出,雙主力連買,603.0,6.73,2474,33,2474,4981,6,1,6450,50,6450,564.2,497.82,300.7,是,是,否,否,否,否,均線多頭,,,
3037,欣興,強勢噴出,雙主力連買,1040.0,2.97,119,2054,119,2292,2,5,-1098,12974,-1098,1016.2,965.6,869.47,是,否,否,否,否,否,均線多頭,,,
3189,景碩,強勢噴出,雙主力連買,888.0,0.34,333,839,333,1505,1,6,-6694,11362,-6694,839.6,731.8,586.58,是,是,否,否,是,否,均線多頭、布林突破,,,
2493,揚博,強勢噴出,雙主力連買,317.0,8.38,498,5,498,1001,6,1,1265,5,1265,287.2,233.0,167.58,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
1305,華夏,強勢噴出,雙主力連買,13.0,0.78,330,15,330,675,6,1,2435,15,2435,13.06,12.98,13.7,否,是,否,否,否,否,—,,,
6831,邁科,強勢噴出,雙主力連買,903.0,3.44,62,287,62,411,1,6,-466,639,-466,,,,,,,,,,—,,,
3443,創意,強勢噴出,雙主力連買,5045.0,4.13,67,212,67,346,1,6,-162,532,-162,,,,,,,,,,—,,,
3661,世芯-KY,強勢噴出,雙主力連買,4450.0,6.46,96,28,96,220,3,4,-107,-6,-107,4143.0,4242.75,4202.58,否,否,是,否,否,否,KD黃金交叉,,,
6670,復盛應用,趨勢持續,雙主力連買,251.5,1.62,157,11,157,325,1,6,-504,1595,-504,250.6,273.62,264.86,否,否,否,否,否,否,—,,,
4961,天鈺,趨勢持續,雙主力連買,161.5,0.0,89,66,89,244,1,6,-677,169,-677,166.2,168.68,165.23,否,否,否,否,否,否,—,,,
8150,南茂,強勢噴出,雙主力連買,107.0,7.54,13827,6480,13827,34134,2,4,1112,8108,1112,98.1,98.03,85.26,是,否,是,否,否,是,均線多頭、KD黃金交叉、爆量長紅,,,
3090,日電貿,強勢噴出,雙主力連買,316.0,2.1,73,438,73,584,2,4,465,1561,465,314.7,275.12,183.35,是,是,否,否,否,否,均線多頭,,,
6409,旭隼,趨勢持續,雙主力連買,1130.0,4.15,287,58,287,632,2,4,802,1070,802,,,,,,,,,,—,,,
6789,采鈺,趨勢持續,雙主力連買,535.0,4.29,148,1,148,297,5,1,485,-16,485,514.9,509.9,512.15,否,否,否,否,否,否,—,,,
3706,神達,強勢噴出,雙主力連買,91.3,4.58,5275,6022,5275,16572,1,4,-5481,17844,-5481,86.8,88.01,85.19,否,否,否,是,否,是,MACD翻多、爆量長紅,,,
6189,豐藝,強勢噴出,雙主力連買,53.2,5.98,1396,13,1396,2805,2,3,1485,57,1485,,,,,,,,,,—,,,
3015,全漢,強勢噴出,雙主力連買,65.5,4.13,856,25,856,1737,2,3,1065,89,1065,,,,,,,,,,—,,,
3030,德律,強勢噴出,雙主力連買,353.5,7.94,344,10,344,698,4,1,1336,11,1336,329.5,338.23,353.12,否,否,是,是,否,是,KD黃金交叉、MACD翻多、爆量長紅,,,
3026,禾伸堂,強勢噴出,雙主力連買,899.0,6.77,320,85,320,725,1,4,305,-2,305,801.4,760.6,474.49,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
9946,三發地產,低位啟動,雙主力連買,19.65,0.51,188,25,188,401,4,1,465,25,465,19.57,18.77,17.28,是,是,否,否,否,否,均線多頭,,,
3622,洋華,低位啟動,雙主力連買,59.1,1.72,75,111,75,261,2,3,-30,311,-30,56.58,56.7,56.16,否,否,否,否,否,否,—,,,
3022,威強電,低位啟動,雙主力連買,82.9,1.1,160,14,160,334,2,3,-1952,31,-1952,82.58,82.58,74.17,否,是,否,否,否,否,—,,,
2480,敦陽科,趨勢持續,雙主力連買,156.0,0.0,64,9,64,137,2,3,616,32,616,,,,,,,,,,—,,,
