代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
1402,遠東新,強勢噴出,雙主力連買,27.55,0.92,15079,72,15079,30230,6,6,56395,432,56395,27.32,27.28,27.4,否,是,否,否,否,否,—,,,
2105,正新,強勢噴出,雙主力連買,32.1,0.94,1189,71,1189,2449,6,6,4816,521,4816,,,,,,,,,,—,,,
9910,豐泰,強勢噴出,雙主力連買,71.0,0.42,422,34,422,878,6,6,2565,248,2565,70.34,68.91,71.82,否,是,否,否,否,否,—,,,
1717,長興,強勢噴出,雙主力連買,78.6,9.32,16328,200,16328,32856,4,6,24688,1435,24688,70.58,63.98,71.61,否,否,否,否,是,是,布林突破、爆量長紅,,,
2330,台積電,強勢噴出,雙主力連買,2415.0,0.84,2626,587,2626,5839,4,4,2872,1098,2872,2385.0,2356.25,2363.67,否,否,否,否,否,否,—,,,
2542,興富發,強勢噴出,雙主力連買,44.8,0.56,729,294,729,1752,2,6,-356,2262,-356,,,,,,,,,,—,,,
2474,可成,趨勢持續,雙主力連買,205.0,0.49,56,46,56,158,3,5,3285,157,3285,,,,,,,,,,—,,,
4938,和碩,強勢噴出,雙主力連買,91.4,2.7,8259,43,8259,16561,1,6,7168,4661,7168,89.0,85.76,85.66,是,是,否,否,否,否,均線多頭,,,
2883,凱基金,強勢噴出,雙主力連買,31.2,0.48,2856,4243,2856,9955,2,5,-22218,24804,-22218,30.95,30.41,28.22,是,是,否,否,否,否,均線多頭,,,
2376,技嘉,強勢噴出,雙主力連買,375.5,7.13,4224,205,4224,8653,6,1,9685,-1442,9685,352.7,340.3,341.63,否,是,否,否,是,是,布林突破、爆量長紅,,,
2347,聯強,強勢噴出,雙主力連買,91.6,0.66,2390,116,2390,4896,2,5,2206,1671,2206,92.52,89.58,89.35,是,是,否,否,否,否,均線多頭,,,
9921,巨大,強勢噴出,雙主力連買,109.0,2.35,2334,120,2334,4788,6,1,12217,119,12217,100.92,89.41,78.84,是,是,否,否,是,否,均線多頭、布林突破,,,
2357,華碩,強勢噴出,雙主力連買,852.0,1.55,1186,75,1186,2447,4,3,4732,-290,4732,,,,,,,,,,—,,,
9914,美利達,強勢噴出,雙主力連買,93.3,1.08,1259,118,1259,2636,6,1,4827,118,4827,,,,,,,,,,—,,,
2890,永豐金,強勢噴出,雙主力連買,39.85,2.05,8869,118,8869,17856,4,2,13796,-1802,13796,39.09,39.39,36.81,否,否,是,否,否,否,KD黃金交叉,,,
2855,統一證,強勢噴出,雙主力連買,47.5,2.81,1882,594,1882,4358,1,5,-2832,4315,-2832,45.83,44.29,47.55,否,否,否,否,否,否,—,,,
2385,群光,強勢噴出,雙主力連買,105.0,0.48,1041,16,1041,2098,3,3,2598,-169,2598,,,,,,,,,,—,,,
2383,台光電,強勢噴出,雙主力連買,5730.0,3.52,305,56,305,666,3,3,507,390,507,,,,,,,,,,—,,,
4551,智伸科,強勢噴出,雙主力連買,172.5,9.87,66,109,66,241,1,5,-2609,959,-2609,168.2,172.62,184.65,否,否,否,是,否,否,MACD翻多,,,
2887,台新新光金,強勢噴出,雙主力連買,35.65,0.28,9082,4943,9082,23107,1,4,7888,17932,7888,35.35,34.93,31.6,是,否,否,否,否,否,均線多頭,,,
8422,可寧衛*,強勢噴出,雙主力連買,26.9,0.94,1886,1,1886,3773,4,1,7777,-29,7777,26.56,25.99,27.13,否,是,否,否,否,否,—,,,
2382,廣達,強勢噴出,雙主力連買,325.5,3.17,636,1098,636,2370,1,4,-6321,1355,-6321,,,,,,,,,,—,,,
2317,鴻海,強勢噴出,雙主力連買,270.0,2.66,29370,255,29370,58995,1,3,52525,123,52525,264.4,250.5,256.6,否,是,否,否,否,否,—,,,
3033,威健,強勢噴出,雙主力連買,50.3,0.2,1758,1,1758,3517,3,1,10832,1,10832,,,,,,,,,,—,,,
2201,裕隆,強勢噴出,雙主力連買,28.35,2.16,1589,45,1589,3223,3,1,2293,32,2293,,,,,,,,,,—,,,
2395,研華,趨勢持續,雙主力連買,686.0,3.78,242,167,242,651,1,3,2085,265,2085,654.0,587.55,526.27,是,是,否,否,是,否,均線多頭、布林突破,,,
4764,雙鍵,趨勢持續,雙主力連買,249.5,3.74,188,40,188,416,3,1,923,-1575,923,244.2,269.62,294.35,否,否,是,否,否,否,KD黃金交叉,,,
6442,光聖,強勢噴出,雙主力連買,1595.0,10.0,13,145,13,171,1,3,45,69,45,1442.0,1317.5,1645.33,否,是,否,否,是,否,布林突破,,,
1714,和桐,強勢噴出,雙主力連買,17.4,4.5,836,79,836,1751,2,1,-10166,20,-10166,,,,,,,,,,—,,,
3045,台灣大,強勢噴出,雙主力連買,109.5,0.0,598,91,598,1287,1,2,-2699,291,-2699,110.3,111.8,114.29,否,是,否,否,否,否,—,,,
