代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2371,大同,強勢噴出,雙主力連買,28.15,0.54,2410,4,2410,4824,6,4,8940,1093,8940,27.58,27.85,29.59,否,否,否,否,否,否,—,,,
2105,正新,強勢噴出,雙主力連買,32.55,1.24,7759,6,7759,15524,4,5,33004,2572,33004,31.29,31.65,32.05,否,否,否,否,否,否,—,,,
2542,興富發,強勢噴出,雙主力連買,45.0,3.09,6862,160,6862,13884,3,6,-5371,12931,-5371,43.43,43.82,41.41,否,是,否,否,否,否,—,,,
2890,永豐金,強勢噴出,雙主力連買,41.0,3.27,21846,2671,21846,46363,2,6,-76503,129293,-76503,40.02,37.55,33.29,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
2892,第一金,強勢噴出,雙主力連買,33.05,2.01,6622,7376,6622,20620,2,6,-135230,159778,-135230,32.7,31.94,29.69,是,是,否,否,否,否,均線多頭,,,
1216,統一,強勢噴出,雙主力連買,77.8,1.97,10005,223,10005,20233,2,6,12978,3464,12978,75.6,75.22,73.23,是,是,否,是,是,否,均線多頭、MACD翻多、布林突破,,,
2027,大成鋼,強勢噴出,雙主力連買,41.3,0.36,2113,572,2113,4798,2,6,-32161,32313,-32161,40.99,41.42,40.23,否,否,否,否,否,否,—,,,
1513,中興電,強勢噴出,雙主力連買,178.5,1.13,1995,37,1995,4027,2,6,490,1072,490,177.1,174.55,163.01,是,否,否,否,否,否,均線多頭,,,
2912,統一超,強勢噴出,雙主力連買,240.0,3.9,1657,47,1657,3361,3,5,2783,675,2783,,,,,,,,,,—,,,
2603,長榮,強勢噴出,雙主力連買,195.5,0.26,753,9,753,1515,6,2,12367,-1473,12367,189.2,200.97,206.53,否,否,否,否,否,否,—,,,
4961,天鈺,強勢噴出,雙主力連買,177.0,2.31,500,47,500,1047,2,6,677,424,677,168.5,169.07,166.28,否,否,否,是,否,否,MACD翻多,,,
2646,星宇航空,低位啟動,雙主力連買,21.35,0.23,227,18,227,472,4,4,2330,1498,2330,21.17,21.0,20.67,是,是,否,否,否,否,均線多頭,,,
3596,智易,趨勢持續,雙主力連買,197.0,0.25,15,3,15,33,2,6,-246,1313,-246,194.3,188.6,181.43,是,是,否,否,否,否,均線多頭,,,
8150,南茂,強勢噴出,雙主力連買,115.5,10.0,17467,467,17467,35401,1,6,20184,13722,20184,107.1,99.9,87.77,是,是,否,否,是,否,均線多頭、布林突破,,,
2352,佳世達,強勢噴出,雙主力連買,35.4,9.94,7095,3778,7095,17968,1,6,-11056,27912,-11056,33.19,31.25,28.09,是,是,否,是,是,否,均線多頭、MACD翻多、布林突破,,,
