代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
2886,兆豐金,強勢噴出,雙主力連買,47.05,0.32,12062,3285,12062,27409,5,6,76147,39885,76147,46.75,49.38,46.2,否,否,否,否,否,否,—,,,
2609,陽明,強勢噴出,雙主力連買,59.0,4.98,31191,6,31191,62388,4,6,68171,547,68171,54.58,51.81,51.66,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
1402,遠東新,強勢噴出,雙主力連買,28.0,0.72,6109,901,6109,13119,3,6,11661,3132,11661,27.48,27.29,27.45,否,是,否,否,是,否,布林突破,,,
2542,興富發,強勢噴出,雙主力連買,48.15,0.84,6655,212,6655,13522,3,6,25140,5399,25140,47.06,44.83,43.95,是,是,否,否,是,否,均線多頭、布林突破,,,
2105,正新,強勢噴出,雙主力連買,31.05,0.16,2294,25,2294,4613,2,6,-12793,1142,-12793,30.8,30.93,31.81,否,否,否,否,否,否,—,,,
6213,聯茂,強勢噴出,雙主力連買,484.0,0.83,743,120,743,1606,6,2,6285,605,6285,,,,,,,,,,—,,,
1102,亞泥,強勢噴出,雙主力連買,33.8,0.9,7594,31,7594,15219,4,3,9320,887,9320,33.18,32.89,34.11,否,是,否,否,否,否,—,,,
9904,寶成,強勢噴出,雙主力連買,24.7,0.82,1365,43,1365,2773,1,6,4236,1047,4236,24.63,24.17,24.99,否,是,否,否,否,否,—,,,
9910,豐泰,強勢噴出,雙主力連買,68.8,0.44,983,16,983,1982,1,6,1330,553,1330,,,,,,,,,,—,,,
1477,聚陽,強勢噴出,雙主力連買,192.5,2.67,538,110,538,1186,1,6,-6406,381,-6406,,,,,,,,,,—,,,
3017,奇鋐,強勢噴出,雙主力連買,3095.0,0.0,45,601,45,691,6,1,4230,974,4230,,,,,,,,,,—,,,
2633,台灣高鐵,低位啟動,雙主力連買,25.9,0.0,136,47,136,319,1,6,-7024,5422,-7024,25.93,25.93,25.9,否,否,否,否,否,否,—,,,
9946,三發地產,低位啟動,雙主力連買,18.85,0.0,30,1,30,61,6,1,226,-3,226,,,,,,,,,,—,,,
2486,一詮,趨勢持續,雙主力連買,235.0,0.0,182,64,182,428,4,3,2507,592,2507,233.0,219.93,241.37,否,是,否,否,否,否,—,,,
2347,聯強,低位啟動,雙主力連買,86.3,0.35,79,18,79,176,1,6,-2597,2387,-2597,,,,,,,,,,—,,,
2603,長榮,強勢噴出,雙主力連買,240.5,1.05,8541,6,8541,17088,5,1,57448,106,57448,228.9,212.03,207.29,是,是,否,否,是,否,均線多頭、布林突破,,,
2478,大毅,強勢噴出,雙主力連買,134.5,9.8,2156,257,2156,4569,4,2,-4395,714,-4395,128.0,121.67,160.02,否,否,是,否,否,否,KD黃金交叉,,,
6672,騰輝電子-KY,強勢噴出,雙主力連買,284.0,1.43,202,203,202,607,4,2,1259,405,1259,,,,,,,,,,—,,,
3045,台灣大,強勢噴出,雙主力連買,113.5,2.25,18646,51,18646,37343,3,2,22766,-1550,22766,110.4,111.5,114.02,否,否,否,否,否,否,—,,,
5876,上海商銀,強勢噴出,雙主力連買,43.5,0.69,2051,185,2051,4287,3,2,836,627,836,42.71,43.96,42.83,否,否,否,否,否,否,—,,,
2637,慧洋-KY,強勢噴出,雙主力連買,91.8,3.49,1736,197,1736,3669,4,1,3143,173,3143,87.68,84.68,80.18,是,是,否,否,是,是,均線多頭、布林突破、爆量長紅,,,
